Vf,P2016_Sf
0.250,0.000008
0.255,0.000017
0.260,0.000032
0.265,0.000061
0.270,0.000110
0.275,0.000195
0.280,0.000336
0.285,0.000564
0.290,0.000921
0.295,0.001463
0.300,0.002266
0.305,0.003422
0.310,0.005039
0.315,0.007243
0.320,0.010167
0.325,0.013948
0.330,0.018717
0.335,0.024587
0.340,0.031647
0.345,0.039953
0.350,0.049523
0.355,0.060332
0.360,0.072322
0.365,0.085401
0.370,0.099450
0.375,0.114339
0.380,0.129932
0.385,0.146094
0.390,0.162702
0.395,0.179645
0.400,0.196827
0.405,0.214167
0.410,0.231595
0.415,0.249046
0.420,0.266454
0.425,0.283755
0.430,0.300877
0.435,0.317741
0.440,0.334269
0.445,0.350380
0.450,0.366005
0.455,0.381085
0.460,0.395584
0.465,0.409489
0.470,0.422812
0.475,0.435592
0.480,0.447888
0.485,0.459230
0.490,0.470696
0.495,0.482543
0.500,0.494829
0.505,0.507605
0.510,0.520910
0.515,0.534766
0.520,0.549183
0.525,0.564155
0.530,0.579660
0.535,0.595664
0.540,0.612120
0.545,0.628972
0.550,0.646157
0.555,0.663608
0.560,0.681257
0.565,0.699039
0.570,0.716891
0.575,0.734759
0.580,0.752595
0.585,0.770357
0.590,0.788004
0.595,0.805497
0.600,0.822787
0.605,0.839811
0.610,0.856490
0.615,0.872720
0.620,0.888378
0.625,0.903323
0.630,0.917406
0.635,0.930481
0.640,0.942419
0.645,0.953119
0.650,0.962520
0.655,0.970605
0.660,0.977404
0.665,0.982990
0.670,0.987469
0.675,0.990972
0.680,0.993643
0.685,0.995628
0.690,0.997064
0.695,0.998075
0.700,0.998769
0.705,0.999233
0.710,0.999534
0.715,0.999724
0.720,0.999840
0.725,0.999910
0.730,0.999951
0.735,0.999974
0.740,0.999986
0.745,0.999993
0.750,0.999997
