CD,composite_Vf,CD,P2020_Vf,CD,P2016_Vf,CD,S2020_Vf,CD,S2016_Vf,CD,G2020_Vf,CD,AG2020_Vf
1,0.549307,1,0.536841,1,0.550551,1,0.544000,1,0.543635,1,0.564050,1,0.556211
2,0.631539,2,0.646058,2,0.616450,2,0.621897,2,0.576786,2,0.672971,2,0.641831
3,0.376396,3,0.371488,3,0.365301,3,0.376532,3,0.362002,3,0.397028,3,0.382012
4,0.677149,4,0.677508,4,0.677068,4,0.671954,4,0.653040,4,0.700305,4,0.680402
5,0.397577,5,0.392253,5,0.382740,5,0.398754,5,0.372772,5,0.432434,5,0.399753
6,0.564323,6,0.562761,6,0.554201,6,0.562756,6,0.538120,6,0.595788,6,0.568223
7,0.445120,7,0.435541,7,0.433040,7,0.439706,7,0.429486,7,0.474316,7,0.453274
8,0.332674,8,0.327700,8,0.312371,8,0.331360,8,0.310068,8,0.361529,8,0.343858
9,0.467712,9,0.459568,9,0.457332,9,0.462506,9,0.452352,9,0.496767,9,0.472889
10,0.309522,10,0.300178,10,0.292419,10,0.305320,10,0.299395,10,0.333449,10,0.320099
11,0.450158,11,0.448516,11,0.420572,11,0.451536,11,0.434825,11,0.479686,11,0.456403
12,0.643981,12,0.652985,12,0.628842,12,0.641151,12,0.610150,12,0.671629,12,0.650926
13,0.506684,13,0.508621,13,0.487788,13,0.501571,13,0.474091,13,0.540180,13,0.517519
14,0.563539,14,0.583229,14,0.551187,14,0.556147,14,0.510784,14,0.597539,14,0.569358
