Vf,composite
0.250,0.000004
0.255,0.000007
0.260,0.000015
0.265,0.000028
0.270,0.000052
0.275,0.000095
0.280,0.000168
0.285,0.000291
0.290,0.000490
0.295,0.000804
0.300,0.001287
0.305,0.002010
0.310,0.003063
0.315,0.004557
0.320,0.006620
0.325,0.009397
0.330,0.013041
0.335,0.017704
0.340,0.023526
0.345,0.030622
0.350,0.039071
0.355,0.048904
0.360,0.060104
0.365,0.072598
0.370,0.086266
0.375,0.100951
0.380,0.116470
0.385,0.132632
0.390,0.149253
0.395,0.166171
0.400,0.183253
0.405,0.200400
0.410,0.217550
0.415,0.234666
0.420,0.251734
0.425,0.268746
0.430,0.285697
0.435,0.302571
0.440,0.319340
0.445,0.335962
0.450,0.352382
0.455,0.368542
0.460,0.384381
0.465,0.399848
0.470,0.414909
0.475,0.429544
0.480,0.443758
0.485,0.457574
0.490,0.471033
0.495,0.484165
0.500,0.497270
0.505,0.510802
0.510,0.524786
0.515,0.539234
0.520,0.554138
0.525,0.569477
0.530,0.585213
0.535,0.601301
0.540,0.617687
0.545,0.634315
0.550,0.651130
0.555,0.668083
0.560,0.685133
0.565,0.702247
0.570,0.719402
0.575,0.736580
0.580,0.753770
0.585,0.770959
0.590,0.788130
0.595,0.805254
0.600,0.822284
0.605,0.839152
0.610,0.855762
0.615,0.871993
0.620,0.887701
0.625,0.902726
0.630,0.916903
0.635,0.930073
0.640,0.942098
0.645,0.952872
0.650,0.962334
0.655,0.970466
0.660,0.977301
0.665,0.982914
0.670,0.987412
0.675,0.990930
0.680,0.993611
0.685,0.995604
0.690,0.997046
0.695,0.998063
0.700,0.998761
0.705,0.999227
0.710,0.999529
0.715,0.999721
0.720,0.999839
0.725,0.999909
0.730,0.999950
0.735,0.999973
0.740,0.999986
0.745,0.999993
0.750,0.999997
