METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.560908,0.555185,0.546508,0.531356,0.639184,0.571991,0.648955,0.582197,0.020328,0.034916,-0.021289,-0.036567,-1.047275
Sf,0.922394,0.885473,0.867442,0.770363,0.999394,0.953811,0.999645,0.912688,0.036430,0.039915,0.009706,0.010635,0.266429
EG,-0.300578,-0.275103,-0.274426,-0.207651,-0.221026,-0.309829,-0.201735,-0.248295,0.018029,-0.072611,-0.052283,0.210568,-2.899939
PR,-0.361486,-0.330288,-0.320934,-0.239007,-0.360210,-0.381820,-0.350690,-0.330491,0.020320,-0.061484,-0.030995,0.093785,-1.525344
GAMMA,-0.221498,-0.151796,-0.131062,-0.045155,-0.491532,-0.290752,-0.494627,-0.267487,0.078264,-0.292590,0.045989,-0.171930,0.587614
BS_50,0.009481,0.017587,0.005034,0.006060,0.009017,0.007347,0.015380,0.010071,0.002119,0.210406,-0.000590,-0.058584,-0.278433
BV_50,0.000991,0.001922,0.000520,0.000629,0.000944,0.000772,0.001629,0.001069,0.000234,0.218896,-0.000078,-0.072965,-0.333333
BS_V,0.005666,0.012070,0.003688,0.005516,0.000156,0.003526,0.000119,0.004179,0.001802,0.431204,0.001487,0.355827,0.825194
GS,0.002547,0.004724,0.001244,0.001480,0.002561,0.002062,0.004167,0.002706,0.000585,0.216186,-0.000159,-0.058758,-0.271795
MM,-0.005780,0.000389,0.001056,-0.001328,-0.003890,0.000133,-0.004632,-0.001379,0.000970,-0.703408,-0.004401,3.191443,-4.537113
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,nan
R,6.934945,6.985105,7.900623,8.622378,3.588010,6.303725,3.354333,6.125696,0.899525,0.146845,0.809249,0.132107,0.899640
r,3.298339,4.234423,5.082574,7.182316,0.056484,2.264998,0.033687,3.142414,1.172384,0.373084,0.155925,0.049619,0.132998
Sb,0.922394,0.885473,0.867442,0.770363,0.999394,0.953811,0.999645,0.912688,0.036430,0.039915,0.009706,0.010635,0.266429
Ra,0.961197,0.942736,0.933721,0.885182,0.999697,0.976906,0.999822,0.956344,0.018215,0.019046,0.004853,0.005075,0.266429
Rb,0.461197,0.442736,0.433721,0.385182,0.499697,0.476906,0.499822,0.456344,0.018215,0.039915,0.004853,0.010635,0.266429
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,nan
Vb,0.439662,0.445372,0.453467,0.468207,0.362106,0.428479,0.353300,0.418488,0.019955,0.047684,0.021174,0.050596,1.061087
L_Vf,0.540000,0.535000,0.525000,0.510000,0.615000,0.550000,0.625000,0.560000,0.019748,0.035264,-0.020000,-0.035714,-1.012761
L_Sf,0.823712,0.773753,0.723882,0.589562,0.996286,0.878413,0.997753,0.826608,0.065904,0.079728,-0.002896,-0.003503,-0.043943
U_Vf,0.585000,0.580000,0.570000,0.555000,0.660000,0.595000,0.670000,0.605000,0.019748,0.032641,-0.020000,-0.033058,-1.012761
U_Sf,0.977516,0.963258,0.954548,0.905803,0.999914,0.987559,0.999955,0.968506,0.014711,0.015189,0.009010,0.009303,0.612467
