Vf,composite
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000000
0.290,0.000000
0.295,0.000000
0.300,0.000000
0.305,0.000001
0.310,0.000001
0.315,0.000002
0.320,0.000004
0.325,0.000007
0.330,0.000013
0.335,0.000022
0.340,0.000037
0.345,0.000062
0.350,0.000103
0.355,0.000167
0.360,0.000267
0.365,0.000421
0.370,0.000655
0.375,0.001003
0.380,0.001513
0.385,0.002249
0.390,0.003296
0.395,0.004760
0.400,0.006776
0.405,0.009510
0.410,0.013160
0.415,0.017956
0.420,0.024161
0.425,0.032066
0.430,0.041981
0.435,0.054227
0.440,0.069121
0.445,0.086957
0.450,0.107994
0.455,0.132429
0.460,0.160383
0.465,0.191882
0.470,0.226843
0.475,0.265068
0.480,0.306243
0.485,0.349939
0.490,0.395631
0.495,0.442711
0.500,0.490519
0.505,0.538363
0.510,0.585560
0.515,0.631453
0.520,0.675449
0.525,0.717035
0.530,0.755793
0.535,0.791418
0.540,0.823712
0.545,0.852589
0.550,0.878060
0.555,0.900225
0.560,0.919257
0.565,0.935748
0.570,0.949586
0.575,0.960960
0.580,0.970171
0.585,0.977516
0.590,0.983284
0.595,0.987744
0.600,0.991141
0.605,0.993687
0.610,0.995566
0.615,0.996930
0.620,0.997906
0.625,0.998593
0.630,0.999068
0.635,0.999392
0.640,0.999610
0.645,0.999753
0.650,0.999846
0.655,0.999906
0.660,0.999943
0.665,0.999966
0.670,0.999980
0.675,0.999989
0.680,0.999994
0.685,0.999996
0.690,0.999998
0.695,0.999999
0.700,0.999999
0.705,1.000000
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
