METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018
Vf,0.560908,0.555185,0.546508,0.531356,0.639184,0.571991,0.648955
Sf,0.922394,0.885473,0.867442,0.770363,0.999394,0.953811,0.999645
EG,-0.300578,-0.275103,-0.274426,-0.207651,-0.221026,-0.309829,-0.201735
PR,-0.361486,-0.330288,-0.320934,-0.239007,-0.360210,-0.381820,-0.350690
GAMMA,-0.221498,-0.151796,-0.131062,-0.045155,-0.491532,-0.290752,-0.494627
BS_50,0.009481,0.017587,0.005034,0.006060,0.009017,0.007347,0.015380
BV_50,0.000991,0.001922,0.000520,0.000629,0.000944,0.000772,0.001629
BS_V,0.005666,0.012070,0.003688,0.005516,0.000156,0.003526,0.000119
GS,0.002547,0.004724,0.001244,0.001480,0.002561,0.002062,0.004167
MM,-0.005780,0.000389,0.001056,-0.001328,-0.003890,0.000133,-0.004632
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,6.934945,6.985105,7.900623,8.622378,3.588010,6.303725,3.354333
r,3.298339,4.234423,5.082574,7.182316,0.056484,2.264998,0.033687
Sb,0.922394,0.885473,0.867442,0.770363,0.999394,0.953811,0.999645
Ra,0.961197,0.942736,0.933721,0.885182,0.999697,0.976906,0.999822
Rb,0.461197,0.442736,0.433721,0.385182,0.499697,0.476906,0.499822
Va,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
Vb,0.439662,0.445372,0.453467,0.468207,0.362106,0.428479,0.353300
L_Vf,0.540000,0.535000,0.525000,0.510000,0.615000,0.550000,0.625000
L_Sf,0.823712,0.773753,0.723882,0.589562,0.996286,0.878413,0.997753
U_Vf,0.585000,0.580000,0.570000,0.555000,0.660000,0.595000,0.670000
U_Sf,0.977516,0.963258,0.954548,0.905803,0.999914,0.987559,0.999955
