METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2018
Vf,0.514457,Vf,0.512231,Vf,0.512943,Vf,0.526238,Vf,0.513237,Vf,0.521562,Vf,0.502497
Sf,0.680990,Sf,0.648919,Sf,0.669479,Sf,0.726159,Sf,0.677262,Sf,0.713606,Sf,0.647858
EG,-0.152076,EG,-0.124457,EG,-0.143593,EG,-0.173683,EG,-0.150788,EG,-0.170482,EG,-0.142864
PR,-0.166533,PR,-0.136688,PR,-0.156536,PR,-0.199921,PR,-0.164025,PR,-0.192044,PR,-0.145361
GAMMA,-0.120171,GAMMA,-0.082229,GAMMA,-0.115096,GAMMA,-0.153846,GAMMA,-0.127213,GAMMA,-0.152041,GAMMA,-0.137010
BS_50,-0.111241,BS_50,-0.073215,BS_50,-0.105195,BS_50,-0.120017,BS_50,-0.117846,BS_50,-0.125435,BS_50,-0.135947
BV_50,-0.016946,BV_50,-0.010162,BV_50,-0.016128,BV_50,-0.018387,BV_50,-0.018997,BV_50,-0.019462,BV_50,-0.021821
BS_V,-0.099440,BS_V,-0.066220,BS_V,-0.095704,BS_V,-0.082965,BS_V,-0.107983,BS_V,-0.098735,BS_V,-0.134835
GS,-0.018690,GS,-0.011410,GS,-0.017760,GS,-0.020732,GS,-0.020322,GS,-0.021751,GS,-0.023276
MM,-0.033820,MM,-0.025817,MM,-0.031751,MM,-0.036881,MM,-0.032703,MM,-0.038247,MM,-0.038263
LO,0.008067,LO,0.013318,LO,0.006445,LO,0.019288,LO,0.005324,LO,0.012516,LO,-0.008340
DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000,DECL,0.000000
R,12.519201,R,12.175510,R,13.094241,R,8.619507,R,13.391367,R,9.906605,R,59.214103
r,4.206905,r,5.452547,r,4.201679,r,2.756023,r,3.780984,r,2.855272,r,4.344332
Sb,0.680990,Sb,0.648919,Sb,0.669479,Sb,0.726159,Sb,0.677262,Sb,0.713606,Sb,0.647858
Ra,0.840495,Ra,0.824459,Ra,0.834739,Ra,0.863079,Ra,0.838631,Ra,0.856803,Ra,0.823929
Rb,0.340495,Rb,0.324459,Rb,0.334739,Rb,0.363079,Rb,0.338631,Rb,0.356803,Rb,0.323929
Va,0.541169,Va,0.523784,Va,0.540833,Va,0.542975,Va,0.546685,Va,0.546712,Va,0.551537
Vb,0.450764,Vb,0.462898,Vb,0.452722,Vb,0.437737,Vb,0.447991,Vb,0.440772,Vb,0.456803
L_Vf,0.490000,L_Vf,0.490000,L_Vf,0.490000,L_Vf,0.505000,L_Vf,0.490000,L_Vf,0.500000,L_Vf,0.480000
L_Sf,0.549215,L_Sf,0.501252,L_Sf,0.543023,L_Sf,0.646010,L_Sf,0.560378,L_Sf,0.625435,L_Sf,0.513497
U_Vf,0.535000,U_Vf,0.535000,U_Vf,0.535000,U_Vf,0.550000,U_Vf,0.535000,U_Vf,0.545000,U_Vf,0.525000
U_Sf,0.748880,U_Sf,0.757632,U_Sf,0.745739,U_Sf,0.789701,U_Sf,0.743879,U_Sf,0.774637,U_Sf,0.721590
