CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
24,0.429382,0.411991,0.385265,0.468777,0.560028,0.344531,0.391770,0.427060,0.031332,0.073367,0.002322,0.005437,0.074110
23,0.431233,0.412231,0.372426,0.476248,0.567120,0.371141,0.379910,0.429846,0.031908,0.074231,0.001387,0.003227,0.043469
21,0.461306,0.436878,0.415843,0.521767,0.587660,0.360260,0.437416,0.459971,0.033194,0.072165,0.001335,0.002902,0.040218
1,0.520580,0.501081,0.458763,0.539020,0.597754,0.517432,0.514731,0.521463,0.018741,0.035939,-0.000883,-0.001693,-0.047116
11,0.529158,0.461441,0.459423,0.553964,0.652868,0.540119,0.535292,0.533851,0.029094,0.054498,-0.004693,-0.008791,-0.161305
2,0.530207,0.492410,0.465804,0.551143,0.625451,0.531154,0.528424,0.532398,0.022406,0.042085,-0.002191,-0.004115,-0.097786
19,0.538463,0.523624,0.491213,0.577259,0.628840,0.475868,0.528600,0.537567,0.023192,0.043143,0.000896,0.001667,0.038634
18,0.551572,0.542465,0.504367,0.589717,0.622830,0.495639,0.554956,0.551662,0.019987,0.036231,-0.000090,-0.000163,-0.004503
22,0.553326,0.538095,0.510781,0.578631,0.675323,0.476576,0.527145,0.551092,0.028350,0.051443,0.002234,0.004054,0.078801
3,0.572843,0.541258,0.526556,0.585619,0.654993,0.573901,0.561851,0.574030,0.018408,0.032068,-0.001187,-0.002068,-0.064483
17,0.578204,0.550862,0.541972,0.600124,0.642544,0.555574,0.584235,0.579218,0.015516,0.026788,-0.001014,-0.001751,-0.065352
20,0.591100,0.597835,0.563464,0.620054,0.683200,0.493721,0.568218,0.587749,0.025864,0.044005,0.003351,0.005701,0.129562
25,0.599421,0.600652,0.572998,0.618227,0.681052,0.539488,0.567158,0.596596,0.020250,0.033943,0.002825,0.004735,0.139506
4,0.605202,0.573470,0.562436,0.615741,0.681347,0.607534,0.596436,0.606161,0.017148,0.028290,-0.000959,-0.001582,-0.055925
26,0.629529,0.619088,0.582958,0.657243,0.741287,0.587628,0.574938,0.627190,0.025974,0.041413,0.002339,0.003729,0.090052
6,0.729172,0.652863,0.709899,0.754776,0.795884,0.750465,0.750254,0.735690,0.019953,0.027121,-0.006518,-0.008860,-0.326668
16,0.738632,0.720639,0.722740,0.750572,0.767128,0.735787,0.738664,0.739255,0.007157,0.009681,-0.000623,-0.000843,-0.087048
8,0.834125,0.767532,0.810013,0.855080,0.885706,0.854779,0.857090,0.838367,0.017284,0.020616,-0.004242,-0.005060,-0.245429
9,0.834490,0.759516,0.805096,0.853076,0.894113,0.857735,0.867586,0.839520,0.019891,0.023693,-0.005030,-0.005992,-0.252878
14,0.850583,0.784938,0.841856,0.872187,0.889295,0.869370,0.872765,0.855069,0.015357,0.017960,-0.004486,-0.005246,-0.292114
12,0.859298,0.860467,0.867030,0.866214,0.851702,0.861752,0.847529,0.859116,0.003220,0.003748,0.000182,0.000212,0.056522
5,0.866632,0.814261,0.853409,0.882546,0.902541,0.881921,0.883471,0.869692,0.012808,0.014727,-0.003060,-0.003518,-0.238913
7,0.881573,0.815542,0.876568,0.909195,0.905078,0.904557,0.909089,0.886672,0.015089,0.017018,-0.005099,-0.005751,-0.337928
10,0.888282,0.859796,0.887586,0.902260,0.894990,0.896277,0.896117,0.889504,0.006241,0.007016,-0.001222,-0.001374,-0.195802
15,0.912683,0.852044,0.916994,0.928121,0.937721,0.929652,0.929408,0.915657,0.013007,0.014205,-0.002974,-0.003248,-0.228646
13,0.938324,0.888289,0.945874,0.952508,0.950719,0.953343,0.952943,0.940613,0.010525,0.011190,-0.002289,-0.002434,-0.217482
