Vf,P2016
0.250,0.000111
0.255,0.000207
0.260,0.000373
0.265,0.000653
0.270,0.001108
0.275,0.001823
0.280,0.002915
0.285,0.004527
0.290,0.006837
0.295,0.010047
0.300,0.014378
0.305,0.020054
0.310,0.027286
0.315,0.036251
0.320,0.047070
0.325,0.059796
0.330,0.074395
0.335,0.090745
0.340,0.108634
0.345,0.127774
0.350,0.147818
0.355,0.168381
0.360,0.189066
0.365,0.209492
0.370,0.229312
0.375,0.248238
0.380,0.266046
0.385,0.282591
0.390,0.297799
0.395,0.311663
0.400,0.324231
0.405,0.335592
0.410,0.345862
0.415,0.355167
0.420,0.363634
0.425,0.371379
0.430,0.378507
0.435,0.385102
0.440,0.391239
0.445,0.396977
0.450,0.402373
0.455,0.407483
0.460,0.412365
0.465,0.417085
0.470,0.421720
0.475,0.426354
0.480,0.431079
0.485,0.435990
0.490,0.441184
0.495,0.446753
0.500,0.452780
0.505,0.459338
0.510,0.466481
0.515,0.474249
0.520,0.482663
0.525,0.491723
0.530,0.501413
0.535,0.511699
0.540,0.522533
0.545,0.533857
0.550,0.545602
0.555,0.557694
0.560,0.570059
0.565,0.582619
0.570,0.595303
0.575,0.608042
0.580,0.620774
0.585,0.633444
0.590,0.646005
0.595,0.658417
0.600,0.670647
0.605,0.682669
0.610,0.694463
0.615,0.706011
0.620,0.720377
0.625,0.738390
0.630,0.756380
0.635,0.774245
0.640,0.791884
0.645,0.809202
0.650,0.826123
0.655,0.842583
0.660,0.858538
0.665,0.873953
0.670,0.888793
0.675,0.903012
0.680,0.916540
0.685,0.929284
0.690,0.941129
0.695,0.951951
0.700,0.961635
0.705,0.970093
0.710,0.977282
0.715,0.983213
0.720,0.987952
0.725,0.991614
0.730,0.994345
0.735,0.996311
0.740,0.997673
0.745,0.998582
0.750,0.999167
