Vf,S2018
0.250,0.000011
0.255,0.000022
0.260,0.000043
0.265,0.000081
0.270,0.000148
0.275,0.000263
0.280,0.000456
0.285,0.000770
0.290,0.001265
0.295,0.002026
0.300,0.003161
0.305,0.004812
0.310,0.007145
0.315,0.010356
0.320,0.014660
0.325,0.020281
0.330,0.027433
0.335,0.036308
0.340,0.047050
0.345,0.059739
0.350,0.074372
0.355,0.090859
0.360,0.109012
0.365,0.128560
0.370,0.149157
0.375,0.170404
0.380,0.191881
0.385,0.213170
0.390,0.233884
0.395,0.253692
0.400,0.272335
0.405,0.289637
0.410,0.305507
0.415,0.319934
0.420,0.332972
0.425,0.344732
0.430,0.355357
0.435,0.365012
0.440,0.373867
0.445,0.382086
0.450,0.389823
0.455,0.397217
0.460,0.404393
0.465,0.411464
0.470,0.418535
0.475,0.425707
0.480,0.433075
0.485,0.440738
0.490,0.448789
0.495,0.457321
0.500,0.466419
0.505,0.476161
0.510,0.486610
0.515,0.497813
0.520,0.509801
0.525,0.522583
0.530,0.536144
0.535,0.550452
0.540,0.565453
0.545,0.581073
0.550,0.597226
0.555,0.613809
0.560,0.630713
0.565,0.647822
0.570,0.665017
0.575,0.682180
0.580,0.699200
0.585,0.715968
0.590,0.732388
0.595,0.748374
0.600,0.763850
0.605,0.778757
0.610,0.793044
0.615,0.806677
0.620,0.819633
0.625,0.831902
0.630,0.843482
0.635,0.854383
0.640,0.864621
0.645,0.874219
0.650,0.883207
0.655,0.891615
0.660,0.899480
0.665,0.906836
0.670,0.913747
0.675,0.925787
0.680,0.937011
0.685,0.947383
0.690,0.956843
0.695,0.965323
0.700,0.972764
0.705,0.979131
0.710,0.984430
0.715,0.988707
0.720,0.992049
0.725,0.994573
0.730,0.996412
0.735,0.997705
0.740,0.998581
0.745,0.999152
0.750,0.999511
