Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018
0.250,0.000020,0.000018,0.000111,0.000011,0.000001,0.000133,0.000055
0.255,0.000039,0.000035,0.000207,0.000022,0.000002,0.000248,0.000106
0.260,0.000074,0.000066,0.000373,0.000043,0.000004,0.000448,0.000197
0.265,0.000137,0.000123,0.000653,0.000081,0.000007,0.000785,0.000354
0.270,0.000247,0.000222,0.001108,0.000148,0.000014,0.001334,0.000620
0.275,0.000432,0.000390,0.001823,0.000263,0.000026,0.002201,0.001054
0.280,0.000736,0.000667,0.002915,0.000456,0.000048,0.003525,0.001741
0.285,0.001218,0.001108,0.004527,0.000770,0.000087,0.005485,0.002795
0.290,0.001964,0.001792,0.006837,0.001265,0.000154,0.008298,0.004366
0.295,0.003084,0.002821,0.010047,0.002026,0.000265,0.012212,0.006636
0.300,0.004718,0.004326,0.014378,0.003161,0.000445,0.017495,0.009823
0.305,0.007037,0.006466,0.020054,0.004812,0.000730,0.024419,0.014167
0.310,0.010240,0.009421,0.027286,0.007145,0.001172,0.033233,0.019923
0.315,0.014545,0.013391,0.036251,0.010356,0.001838,0.044134,0.027335
0.320,0.020177,0.018580,0.047070,0.014660,0.002819,0.057247,0.036622
0.325,0.027357,0.025182,0.059796,0.020281,0.004230,0.072593,0.047945
0.330,0.036278,0.033364,0.074395,0.027433,0.006210,0.090075,0.061387
0.335,0.047084,0.043244,0.090745,0.036308,0.008924,0.109476,0.076936
0.340,0.059857,0.054882,0.108634,0.047050,0.012558,0.130459,0.094466
0.345,0.074591,0.068259,0.127774,0.059739,0.017310,0.152592,0.113744
0.350,0.091192,0.083281,0.147818,0.074372,0.023384,0.175376,0.134434
0.355,0.109467,0.099778,0.168381,0.090859,0.030971,0.198279,0.156116
0.360,0.129136,0.117510,0.189066,0.109012,0.040237,0.220784,0.178321
0.365,0.149844,0.136192,0.209492,0.128560,0.051303,0.242422,0.200559
0.370,0.171184,0.155505,0.229312,0.149157,0.064234,0.262805,0.222360
0.375,0.192723,0.175124,0.248238,0.170404,0.079018,0.281654,0.243302
0.380,0.214035,0.194732,0.266046,0.191881,0.095567,0.298800,0.263041
0.385,0.234726,0.214044,0.282591,0.213170,0.113709,0.314187,0.281330
0.390,0.254459,0.232810,0.297799,0.233884,0.133199,0.327859,0.298021
0.395,0.272975,0.250831,0.311663,0.253692,0.153726,0.339936,0.313066
0.400,0.290099,0.267955,0.324231,0.272335,0.174939,0.350587,0.326503
0.405,0.305745,0.284082,0.335592,0.289637,0.196466,0.360007,0.338437
0.410,0.319906,0.299157,0.345862,0.305507,0.217940,0.368391,0.349018
0.415,0.332647,0.313167,0.355167,0.319934,0.239024,0.375921,0.358417
0.420,0.344084,0.326139,0.363634,0.332972,0.259433,0.382748,0.366812
0.425,0.354366,0.338130,0.371379,0.344732,0.278946,0.388996,0.374366
0.430,0.363660,0.349228,0.378507,0.355357,0.297419,0.394759,0.381220
0.435,0.372137,0.359539,0.385102,0.365012,0.314784,0.400111,0.387493
0.440,0.379956,0.369190,0.391239,0.373867,0.331046,0.405111,0.393279
0.445,0.387264,0.378318,0.396977,0.382086,0.346273,0.409812,0.398653
0.450,0.394189,0.387065,0.402373,0.389823,0.360582,0.414271,0.403680
0.455,0.400843,0.395573,0.407483,0.397217,0.374127,0.418549,0.408419
0.460,0.407328,0.403982,0.412365,0.404393,0.387083,0.422719,0.412936
0.465,0.413735,0.412420,0.417085,0.411464,0.399632,0.426864,0.417301
0.470,0.420152,0.421003,0.421720,0.418535,0.411954,0.431072,0.421600
0.475,0.426667,0.429829,0.426354,0.425707,0.424219,0.435439,0.425927
0.480,0.433368,0.438981,0.431079,0.433075,0.436582,0.440060,0.430391
0.485,0.440347,0.448521,0.435990,0.440738,0.449177,0.445025,0.435107
0.490,0.447694,0.458494,0.441184,0.448789,0.462120,0.450420,0.440195
0.495,0.455495,0.468927,0.446753,0.457321,0.475503,0.456317,0.445777
0.500,0.463833,0.479830,0.452780,0.466419,0.489401,0.462778,0.451968
0.505,0.472778,0.491201,0.459338,0.476161,0.503865,0.469848,0.458875
0.510,0.482389,0.503023,0.466481,0.486610,0.518928,0.477558,0.466591
0.515,0.492707,0.515271,0.474249,0.497813,0.534602,0.485924,0.475191
0.520,0.503755,0.527910,0.482663,0.509801,0.550880,0.494947,0.484732
0.525,0.515539,0.540900,0.491723,0.522583,0.567735,0.504613,0.495247
0.530,0.528041,0.554196,0.501413,0.536144,0.585119,0.514899,0.506746
0.535,0.541229,0.567747,0.511699,0.550452,0.602971,0.525767,0.519214
0.540,0.555051,0.581502,0.522533,0.565453,0.621211,0.537173,0.532612
0.545,0.569440,0.595407,0.533857,0.581073,0.639747,0.549065,0.546878
0.550,0.584317,0.609406,0.545602,0.597226,0.658477,0.561385,0.561929
0.555,0.599595,0.623443,0.557694,0.613809,0.677291,0.574069,0.577662
0.560,0.615176,0.637460,0.570059,0.630713,0.696076,0.587054,0.593960
0.565,0.630961,0.651402,0.582619,0.647822,0.714721,0.600271,0.610692
0.570,0.646849,0.665211,0.595303,0.665017,0.733117,0.613654,0.627717
0.575,0.662738,0.678835,0.608042,0.682180,0.751160,0.627136,0.644893
0.580,0.678530,0.692221,0.620774,0.699200,0.768759,0.640651,0.662073
0.585,0.694130,0.705322,0.633444,0.715968,0.785829,0.654135,0.679117
0.590,0.709452,0.718093,0.646005,0.732388,0.802299,0.667529,0.695889
0.595,0.724413,0.730496,0.658417,0.748374,0.818111,0.680773,0.712263
0.600,0.738942,0.742500,0.670647,0.763850,0.833219,0.693813,0.728126
0.605,0.752976,0.754079,0.682669,0.778757,0.847587,0.706598,0.743378
0.610,0.766461,0.765214,0.694463,0.793044,0.861192,0.719081,0.757935
0.615,0.779355,0.775896,0.706011,0.806677,0.874020,0.731220,0.771730
0.620,0.791624,0.789152,0.720377,0.819633,0.886068,0.742976,0.784713
0.625,0.803247,0.804559,0.738390,0.831902,0.897336,0.758003,0.796849
0.630,0.814213,0.819643,0.756380,0.843482,0.907836,0.775164,0.808122
0.635,0.824522,0.834441,0.774245,0.854383,0.917581,0.791433,0.818529
0.640,0.834181,0.848994,0.791884,0.864621,0.926590,0.806640,0.828705
0.645,0.843208,0.863328,0.809202,0.874219,0.934885,0.820663,0.842194
0.650,0.854177,0.877444,0.826123,0.883207,0.942492,0.833454,0.854238
0.655,0.867555,0.891303,0.842583,0.891615,0.949438,0.845046,0.865031
0.660,0.880261,0.904821,0.858538,0.899480,0.955752,0.855565,0.874817
0.665,0.892444,0.917872,0.873953,0.906836,0.961466,0.865214,0.883869
0.670,0.904224,0.930298,0.888793,0.913747,0.966611,0.874266,0.892464
0.675,0.915664,0.941921,0.903012,0.925787,0.971220,0.883022,0.900856
0.680,0.926763,0.952570,0.916540,0.937011,0.975328,0.891775,0.909250
0.685,0.937449,0.962102,0.929284,0.947383,0.978968,0.900767,0.917783
0.690,0.947591,0.970415,0.941129,0.956843,0.982175,0.910145,0.926504
0.695,0.957029,0.977468,0.951951,0.965323,0.984983,0.919935,0.935375
0.700,0.965598,0.983280,0.961635,0.972764,0.987427,0.930035,0.944270
0.705,0.973163,0.987924,0.970093,0.979131,0.989539,0.940227,0.952999
0.710,0.979634,0.991519,0.977282,0.984430,0.991353,0.950216,0.961333
0.715,0.984991,0.994215,0.983213,0.988707,0.992900,0.959677,0.969044
0.720,0.989271,0.996169,0.987952,0.992049,0.994210,0.968309,0.975934
0.725,0.992571,0.997540,0.991614,0.994573,0.995838,0.975876,0.981867
0.730,0.995021,0.998468,0.994345,0.996412,0.997332,0.982244,0.986779
0.735,0.996774,0.999076,0.996311,0.997705,0.998344,0.987381,0.990688
0.740,0.997981,0.999460,0.997673,0.998581,0.999005,0.991351,0.993671
0.745,0.998779,0.999695,0.998582,0.999152,0.999422,0.994290,0.995854
0.750,0.999288,0.999833,0.999167,0.999511,0.999675,0.996371,0.997385
