Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.002552,0.003014,0.005403,0.000198,0.014954,0.001219,0.001894,0.004447,0.002224,0.500112,-0.001895,-0.426130,-0.852068
0.255000,0.004005,0.004737,0.008041,0.000354,0.020093,0.002002,0.003021,0.006375,0.002945,0.461961,-0.002370,-0.371765,-0.804754
0.260000,0.006047,0.007169,0.011506,0.000611,0.025947,0.003167,0.004634,0.008839,0.003742,0.423351,-0.002792,-0.315873,-0.746125
0.265000,0.008794,0.010460,0.015859,0.001020,0.032287,0.004830,0.006847,0.011884,0.004573,0.384803,-0.003090,-0.260013,-0.675705
0.270000,0.012335,0.014734,0.021091,0.001646,0.038832,0.007109,0.009752,0.015527,0.005390,0.347137,-0.003192,-0.205577,-0.592208
0.275000,0.016711,0.020066,0.027122,0.002572,0.045297,0.010107,0.013403,0.019761,0.006152,0.311320,-0.003050,-0.154344,-0.495774
0.280000,0.021903,0.026461,0.033807,0.003890,0.051453,0.013900,0.017802,0.024552,0.006829,0.278144,-0.002649,-0.107893,-0.387905
0.285000,0.027830,0.033848,0.040957,0.005701,0.057162,0.018515,0.022885,0.029845,0.007406,0.248149,-0.002015,-0.067515,-0.272077
0.290000,0.034353,0.042078,0.048369,0.008102,0.062397,0.023927,0.028528,0.035567,0.007886,0.221722,-0.001214,-0.034133,-0.153944
0.295000,0.041301,0.050937,0.055858,0.011175,0.067231,0.030055,0.034560,0.041636,0.008278,0.198818,-0.000335,-0.008046,-0.040469
0.300000,0.048489,0.060167,0.063278,0.014977,0.071808,0.036770,0.040786,0.047964,0.008596,0.179218,0.000525,0.010946,0.061075
0.305000,0.055752,0.069495,0.070534,0.019528,0.076298,0.043911,0.047022,0.054465,0.008847,0.162435,0.001287,0.023630,0.145473
0.310000,0.062956,0.078651,0.077570,0.024804,0.080855,0.051309,0.053119,0.061051,0.009031,0.147926,0.001905,0.031203,0.210940
0.315000,0.070011,0.087396,0.084361,0.030738,0.085580,0.058803,0.058986,0.067644,0.009141,0.135134,0.002367,0.034992,0.258943
0.320000,0.076867,0.095534,0.090887,0.037225,0.090507,0.066259,0.064593,0.074167,0.009169,0.123626,0.002700,0.036404,0.294470
0.325000,0.083496,0.102921,0.097116,0.044133,0.095601,0.073571,0.069971,0.080552,0.009107,0.113057,0.002944,0.036548,0.323268
0.330000,0.089880,0.109470,0.103001,0.051320,0.100767,0.080662,0.075187,0.086734,0.008950,0.103189,0.003146,0.036272,0.351508
0.335000,0.095995,0.115149,0.108482,0.058646,0.105874,0.087477,0.080321,0.092658,0.008692,0.093807,0.003337,0.036014,0.383916
0.340000,0.101804,0.119979,0.113496,0.065983,0.110779,0.093971,0.085444,0.098275,0.008337,0.084833,0.003529,0.035909,0.423294
0.345000,0.107260,0.124031,0.117994,0.073227,0.115356,0.100103,0.090602,0.103552,0.007888,0.076174,0.003708,0.035808,0.470081
0.350000,0.112312,0.127416,0.121956,0.080294,0.119511,0.105834,0.095802,0.108469,0.007358,0.067835,0.003843,0.035429,0.522289
0.355000,0.116919,0.130277,0.125400,0.087125,0.123196,0.111129,0.101021,0.113025,0.006764,0.059845,0.003894,0.034453,0.575695
0.360000,0.121068,0.132781,0.128389,0.093677,0.126416,0.115970,0.106210,0.117240,0.006133,0.052311,0.003828,0.032651,0.624164
0.365000,0.124776,0.135106,0.131021,0.099920,0.129223,0.120356,0.111314,0.121157,0.005494,0.045346,0.003619,0.029870,0.658719
0.370000,0.128102,0.137435,0.133432,0.105839,0.131712,0.124321,0.116290,0.124838,0.004879,0.039083,0.003264,0.026146,0.668990
0.375000,0.131144,0.139943,0.135777,0.111435,0.134006,0.127931,0.121118,0.128368,0.004321,0.033661,0.002776,0.021625,0.642444
0.380000,0.134032,0.142801,0.138226,0.116728,0.136249,0.131288,0.125815,0.131851,0.003853,0.029222,0.002181,0.016541,0.566052
