Vf,G2018
0.250,0.001219
0.255,0.002002
0.260,0.003167
0.265,0.004830
0.270,0.007109
0.275,0.010107
0.280,0.013900
0.285,0.018515
0.290,0.023927
0.295,0.030055
0.300,0.036770
0.305,0.043911
0.310,0.051309
0.315,0.058803
0.320,0.066259
0.325,0.073571
0.330,0.080662
0.335,0.087477
0.340,0.093971
0.345,0.100103
0.350,0.105834
0.355,0.111129
0.360,0.115970
0.365,0.120356
0.370,0.124321
0.375,0.127931
0.380,0.131288
0.385,0.134527
0.390,0.137804
0.395,0.141294
0.400,0.145177
0.405,0.149630
0.410,0.154821
0.415,0.160901
0.420,0.167999
0.425,0.176218
0.430,0.185632
0.435,0.196283
0.440,0.208182
0.445,0.221308
0.450,0.235610
0.455,0.251010
0.460,0.267411
0.465,0.284695
0.470,0.302733
0.475,0.321388
0.480,0.340521
0.485,0.359483
0.490,0.378985
0.495,0.399069
0.500,0.419647
0.505,0.440629
0.510,0.461932
0.515,0.483476
0.520,0.505194
0.525,0.527031
0.530,0.548948
0.535,0.570918
0.540,0.592925
0.545,0.614960
0.550,0.637018
0.555,0.659089
0.560,0.681158
0.565,0.703197
0.570,0.725161
0.575,0.746988
0.580,0.768598
0.585,0.789889
0.590,0.810741
0.595,0.831019
0.600,0.850575
0.605,0.869256
0.610,0.886906
0.615,0.903379
0.620,0.918547
0.625,0.932307
0.630,0.944591
0.635,0.955370
0.640,0.964655
0.645,0.972500
0.650,0.978996
0.655,0.984263
0.660,0.988441
0.665,0.991681
0.670,0.994138
0.675,0.995957
0.680,0.997272
0.685,0.998200
0.690,0.998839
0.695,0.999269
0.700,0.999550
0.705,0.999729
0.710,0.999841
0.715,0.999909
0.720,0.999949
0.725,0.999972
0.730,0.999985
0.735,0.999992
0.740,0.999996
0.745,0.999998
0.750,0.999999
