Vf,S2016
0.250,0.014954
0.255,0.020093
0.260,0.025947
0.265,0.032287
0.270,0.038832
0.275,0.045297
0.280,0.051453
0.285,0.057162
0.290,0.062397
0.295,0.067231
0.300,0.071808
0.305,0.076298
0.310,0.080855
0.315,0.085580
0.320,0.090507
0.325,0.095601
0.330,0.100767
0.335,0.105874
0.340,0.110779
0.345,0.115356
0.350,0.119511
0.355,0.123196
0.360,0.126416
0.365,0.129223
0.370,0.131712
0.375,0.134006
0.380,0.136249
0.385,0.138591
0.390,0.141183
0.395,0.143594
0.400,0.146396
0.405,0.149701
0.410,0.153581
0.415,0.158111
0.420,0.163370
0.425,0.169435
0.430,0.176388
0.435,0.184308
0.440,0.193275
0.445,0.203365
0.450,0.214653
0.455,0.227205
0.460,0.241080
0.465,0.256323
0.470,0.272967
0.475,0.291024
0.480,0.310488
0.485,0.331329
0.490,0.353492
0.495,0.376900
0.500,0.401452
0.505,0.427028
0.510,0.453494
0.515,0.480702
0.520,0.508501
0.525,0.536738
0.530,0.565260
0.535,0.593921
0.540,0.622579
0.545,0.651093
0.550,0.679327
0.555,0.707139
0.560,0.734386
0.565,0.760914
0.570,0.786564
0.575,0.811167
0.580,0.834556
0.585,0.856568
0.590,0.877050
0.595,0.895875
0.600,0.912944
0.605,0.928198
0.610,0.941621
0.615,0.953240
0.620,0.963127
0.625,0.971391
0.630,0.978173
0.635,0.983632
0.640,0.987942
0.645,0.991277
0.650,0.993806
0.655,0.995685
0.660,0.997051
0.665,0.998024
0.670,0.998702
0.675,0.999164
0.680,0.999473
0.685,0.999674
0.690,0.999803
0.695,0.999883
0.700,0.999932
0.705,0.999962
0.710,0.999979
0.715,0.999988
0.720,0.999994
0.725,0.999997
0.730,0.999998
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
