CD,composite,P2020,P2016,S2018,S2016,G2018,AG2018
2,0.295657,0.270123,0.273918,0.373109,0.258774,0.316391,0.312346
4,0.317835,0.318743,0.303741,0.397133,0.251332,0.334177,0.322214
12,0.358179,0.343327,0.345905,0.437239,0.300736,0.379644,0.365703
8,0.371489,0.388252,0.364743,0.428705,0.291106,0.381507,0.388716
5,0.382441,0.363907,0.368360,0.475192,0.318279,0.398743,0.401544
6,0.399583,0.354398,0.371734,0.488390,0.366436,0.425436,0.423447
14,0.445337,0.424261,0.428628,0.527020,0.376804,0.467876,0.470173
7,0.451666,0.453306,0.440063,0.523194,0.357148,0.467666,0.482589
15,0.453935,0.465644,0.445571,0.527315,0.364108,0.479387,0.454671
10,0.464657,0.482097,0.468079,0.533921,0.376952,0.467075,0.470262
9,0.500755,0.485156,0.495040,0.584724,0.426687,0.520150,0.517126
1,0.510221,0.542949,0.520551,0.556911,0.404411,0.516357,0.522745
13,0.518951,0.514297,0.511002,0.578068,0.445386,0.538388,0.538641
3,0.688017,0.722134,0.701222,0.735743,0.592837,0.700888,0.674943
11,0.795694,0.791042,0.811480,0.832590,0.733132,0.800094,0.810638
