Vf,AG2018
0.250,0.000000
0.255,0.000000
0.260,0.000000
0.265,0.000000
0.270,0.000000
0.275,0.000000
0.280,0.000000
0.285,0.000001
0.290,0.000002
0.295,0.000003
0.300,0.000006
0.305,0.000010
0.310,0.000018
0.315,0.000032
0.320,0.000055
0.325,0.000093
0.330,0.000155
0.335,0.000253
0.340,0.000407
0.345,0.000642
0.350,0.000995
0.355,0.001516
0.360,0.002261
0.365,0.003151
0.370,0.004339
0.375,0.005909
0.380,0.007955
0.385,0.010590
0.390,0.013941
0.395,0.018150
0.400,0.023373
0.405,0.029772
0.410,0.037519
0.415,0.046783
0.420,0.057729
0.425,0.070510
0.430,0.085257
0.435,0.102078
0.440,0.121050
0.445,0.142214
0.450,0.165571
0.455,0.191084
0.460,0.218678
0.465,0.248241
0.470,0.279630
0.475,0.312673
0.480,0.347175
0.485,0.382920
0.490,0.419679
0.495,0.457204
0.500,0.495237
0.505,0.533505
0.510,0.571724
0.515,0.609596
0.520,0.646818
0.525,0.683079
0.530,0.718073
0.535,0.751506
0.540,0.783103
0.545,0.812625
0.550,0.839874
0.555,0.864705
0.560,0.887031
0.565,0.906827
0.570,0.924126
0.575,0.939021
0.580,0.951650
0.585,0.962192
0.590,0.970853
0.595,0.977853
0.600,0.983419
0.605,0.987771
0.610,0.991117
0.615,0.993647
0.620,0.995526
0.625,0.996900
0.630,0.997885
0.635,0.998581
0.640,0.999063
0.645,0.999391
0.650,0.999611
0.655,0.999755
0.660,0.999849
0.665,0.999908
0.670,0.999945
0.675,0.999968
0.680,0.999981
0.685,0.999989
0.690,0.999994
0.695,0.999997
0.700,0.999998
0.705,0.999999
0.710,1.000000
0.715,1.000000
0.720,1.000000
0.725,1.000000
0.730,1.000000
0.735,1.000000
0.740,1.000000
0.745,1.000000
0.750,1.000000
