METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2018
Vf,0.336263,0.330600,0.306953,0.342375,0.266240,0.437320,0.359668
Sf,0.001131,0.002409,0.000115,0.004097,0.000000,0.152672,0.002211
EG,0.171395,0.158791,0.113791,0.180653,0.032480,0.221968,0.217125
PR,0.335132,0.328191,0.306838,0.338278,0.266240,0.284648,0.357457
GAMMA,0.484102,0.468133,0.497759,0.452185,0.499998,0.080806,0.476863
BS_50,0.002041,-0.014619,-0.001884,-0.003882,0.002941,0.008632,0.004763
BV_50,0.000306,-0.002743,-0.000276,-0.000695,0.000330,0.001361,0.000622
BS_V,-0.000475,-0.001031,-0.000054,-0.001681,-0.000000,-0.008457,-0.000648
GS,0.003508,-0.007724,-0.004507,-0.006131,0.000770,0.002698,0.001672
MM,-0.007599,-0.011030,-0.005133,-0.003924,0.002210,-0.014799,-0.015024
LO,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
DECL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
R,3.046772,2.937372,2.589448,3.146090,2.138946,5.541284,3.547222
r,0.090191,0.173897,0.011012,0.277354,0.000010,4.252100,0.149117
Sb,0.001131,0.002409,0.000115,0.004097,0.000000,0.152672,0.002211
Ra,0.500565,0.501205,0.500057,0.502049,0.500000,0.576336,0.501106
Rb,0.000565,0.001205,0.000057,0.002049,0.000000,0.076336,0.001106
Va,0.665287,0.670882,0.693507,0.659500,0.734673,0.573553,0.642124
Vb,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
L_Vf,0.315000,0.310000,0.285000,0.320000,0.250000,0.415000,0.335000
L_Sf,0.000146,0.000352,0.000009,0.000579,0.000000,0.069176,0.000253
U_Vf,0.360000,0.355000,0.330000,0.365000,0.290000,0.460000,0.380000
U_Sf,0.005197,0.009752,0.000697,0.014019,0.000001,0.256931,0.007955
