Vf,composite,P2020,P2016,S2020,S2016,G2018,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.000001,0.000001,0.000002,0.000000,0.000000,0.000002,0.000001,0.000001,0.000000,0.000000,0.000000,0.000000,nan
0.255000,0.000001,0.000001,0.000004,0.000001,0.000000,0.000005,0.000001,0.000002,0.000001,0.500000,-0.000001,-0.500000,-1.000000
0.260000,0.000003,0.000002,0.000007,0.000002,0.000001,0.000010,0.000002,0.000004,0.000001,0.250000,-0.000001,-0.250000,-1.000000
0.265000,0.000006,0.000004,0.000014,0.000004,0.000001,0.000019,0.000005,0.000008,0.000003,0.375000,-0.000002,-0.250000,-0.666667
0.270000,0.000011,0.000009,0.000028,0.000007,0.000003,0.000037,0.000010,0.000016,0.000006,0.375000,-0.000005,-0.312500,-0.833333
0.275000,0.000022,0.000017,0.000052,0.000013,0.000005,0.000068,0.000018,0.000029,0.000010,0.344828,-0.000007,-0.241379,-0.700000
0.280000,0.000040,0.000031,0.000094,0.000025,0.000010,0.000123,0.000034,0.000053,0.000018,0.339623,-0.000013,-0.245283,-0.722222
0.285000,0.000073,0.000057,0.000167,0.000046,0.000019,0.000215,0.000062,0.000094,0.000032,0.340426,-0.000021,-0.223404,-0.656250
0.290000,0.000129,0.000101,0.000289,0.000083,0.000035,0.000369,0.000111,0.000165,0.000054,0.327273,-0.000036,-0.218182,-0.666667
0.295000,0.000224,0.000177,0.000488,0.000145,0.000062,0.000616,0.000193,0.000280,0.000089,0.317857,-0.000056,-0.200000,-0.629213
0.300000,0.000378,0.000301,0.000804,0.000248,0.000108,0.001002,0.000327,0.000465,0.000144,0.309677,-0.000087,-0.187097,-0.604167
0.305000,0.000624,0.000502,0.001293,0.000415,0.000184,0.001591,0.000542,0.000754,0.000227,0.301061,-0.000130,-0.172414,-0.572687
0.310000,0.001006,0.000818,0.002032,0.000679,0.000307,0.002465,0.000879,0.001197,0.000347,0.289891,-0.000191,-0.159566,-0.550432
0.315000,0.001585,0.001303,0.003117,0.001086,0.000501,0.003728,0.001392,0.001855,0.000518,0.279245,-0.000270,-0.145553,-0.521236
0.320000,0.002442,0.002030,0.004672,0.001698,0.000799,0.005503,0.002157,0.002810,0.000754,0.268327,-0.000368,-0.130961,-0.488064
0.325000,0.003679,0.003092,0.006842,0.002599,0.001248,0.007933,0.003268,0.004164,0.001069,0.256724,-0.000485,-0.116475,-0.453695
0.330000,0.005422,0.004608,0.009794,0.003891,0.001909,0.011174,0.004843,0.006037,0.001479,0.244989,-0.000615,-0.101872,-0.415822
0.335000,0.007817,0.006721,0.013712,0.005701,0.002860,0.015386,0.007025,0.008568,0.001996,0.232960,-0.000751,-0.087652,-0.376253
0.340000,0.011032,0.009597,0.018783,0.008180,0.004197,0.020720,0.009975,0.011909,0.002629,0.220757,-0.000877,-0.073642,-0.333587
0.345000,0.015244,0.013418,0.025185,0.011494,0.006034,0.027307,0.013869,0.016218,0.003380,0.208410,-0.000974,-0.060057,-0.288166
0.350000,0.020635,0.018377,0.033074,0.015824,0.008503,0.035240,0.018891,0.021652,0.004244,0.196010,-0.001017,-0.046970,-0.239632
0.355000,0.027375,0.024666,0.042567,0.021352,0.011748,0.044569,0.025218,0.028353,0.005206,0.183614,-0.000978,-0.034494,-0.187860
0.360000,0.035609,0.032457,0.053724,0.028250,0.015922,0.055284,0.033007,0.036441,0.006244,0.171345,-0.000832,-0.022831,-0.133248
0.365000,0.045442,0.041890,0.066539,0.036666,0.021173,0.067318,0.042382,0.045995,0.007325,0.159256,-0.000553,-0.012023,-0.075495
0.370000,0.056926,0.053054,0.080930,0.046708,0.027642,0.080547,0.053416,0.057049,0.008413,0.147470,-0.000123,-0.002156,-0.014620
0.375000,0.070046,0.065974,0.096743,0.058429,0.035444,0.094800,0.066119,0.069585,0.009467,0.136049,0.000461,0.006625,0.048695
0.380000,0.084719,0.080599,0.113754,0.071819,0.044662,0.109873,0.080432,0.083523,0.010446,0.125067,0.001196,0.014319,0.114494
0.385000,0.100787,0.096797,0.131682,0.086794,0.055339,0.125543,0.096223,0.098730,0.011314,0.114595,0.002057,0.020835,0.181810
0.390000,0.118032,0.114356,0.150208,0.103200,0.067465,0.141589,0.113290,0.115018,0.012040,0.104679,0.003014,0.026205,0.250332
0.395000,0.136180,0.133000,0.168995,0.120815,0.080980,0.157804,0.131373,0.132161,0.012601,0.095346,0.004019,0.030410,0.318943
0.400000,0.154924,0.152399,0.187710,0.139364,0.095775,0.174005,0.150169,0.149904,0.012984,0.086615,0.005020,0.033488,0.386630
0.405000,0.173943,0.172194,0.206043,0.158537,0.111694,0.190043,0.169353,0.167977,0.013181,0.078469,0.005966,0.035517,0.452621
0.410000,0.192923,0.192026,0.223728,0.178009,0.128548,0.205802,0.188602,0.186119,0.013195,0.070896,0.006804,0.036557,0.515650
0.415000,0.211579,0.211559,0.240553,0.197467,0.146126,0.221197,0.207614,0.204086,0.013031,0.063851,0.007493,0.036715,0.575013
0.420000,0.229675,0.230506,0.256376,0.216627,0.164212,0.236173,0.226133,0.221671,0.012701,0.057297,0.008004,0.036108,0.630187
0.425000,0.247035,0.248651,0.271123,0.235261,0.182596,0.250701,0.243962,0.238716,0.012222,0.051199,0.008319,0.034849,0.680658
0.430000,0.263556,0.265861,0.284795,0.253206,0.201092,0.264774,0.260977,0.255117,0.011613,0.045520,0.008439,0.033079,0.726686
0.435000,0.279209,0.282093,0.297462,0.270376,0.219548,0.278409,0.277134,0.270837,0.010899,0.040242,0.008372,0.030912,0.768144
0.440000,0.294040,0.297396,0.309258,0.286769,0.237855,0.291645,0.292464,0.285898,0.010104,0.035341,0.008142,0.028479,0.805819
0.445000,0.308165,0.311900,0.320372,0.302455,0.255951,0.304546,0.307074,0.300383,0.009261,0.030831,0.007782,0.025907,0.840298
0.450000,0.321755,0.325806,0.331036,0.317578,0.273826,0.317200,0.321133,0.314430,0.008399,0.026712,0.007325,0.023296,0.872128
0.455000,0.335031,0.339365,0.341510,0.332334,0.291516,0.329720,0.334856,0.328217,0.007553,0.023012,0.006814,0.020761,0.902158
0.460000,0.348239,0.352860,0.352073,0.346957,0.309101,0.342237,0.348495,0.341954,0.006754,0.019751,0.006285,0.018380,0.930560
0.465000,0.361639,0.366585,0.363002,0.361702,0.326694,0.354901,0.362311,0.355866,0.006037,0.016964,0.005773,0.016222,0.956270
0.470000,0.375488,0.380822,0.374562,0.376824,0.344434,0.367864,0.376563,0.370178,0.005433,0.014677,0.005310,0.014344,0.977361
0.475000,0.390018,0.395824,0.386988,0.392558,0.362471,0.381278,0.391489,0.385101,0.004972,0.012911,0.004917,0.012768,0.988938
0.480000,0.405429,0.411796,0.400477,0.409104,0.380956,0.395281,0.407287,0.400817,0.004677,0.011669,0.004612,0.011506,0.986102
0.485000,0.421869,0.428886,0.415176,0.426613,0.400025,0.409989,0.424107,0.417466,0.004559,0.010921,0.004403,0.010547,0.965782
0.490000,0.439431,0.447174,0.431176,0.445174,0.419791,0.425485,0.442039,0.435140,0.004610,0.010594,0.004291,0.009861,0.930803
0.495000,0.458143,0.466668,0.448505,0.464812,0.440328,0.441815,0.461107,0.453873,0.004808,0.010593,0.004270,0.009408,0.888103
0.500000,0.477969,0.487304,0.467129,0.485484,0.461666,0.458984,0.481269,0.473639,0.005118,0.010806,0.004330,0.009142,0.846034
0.505000,0.498810,0.508953,0.486954,0.507081,0.483786,0.476955,0.502419,0.494358,0.005506,0.011138,0.004452,0.009006,0.808572
0.510000,0.520507,0.531422,0.507827,0.529436,0.506617,0.495654,0.524392,0.515891,0.005937,0.011508,0.004616,0.008948,0.777497
0.515000,0.542855,0.554473,0.529548,0.552332,0.530039,0.514968,0.546975,0.538056,0.006384,0.011865,0.004799,0.008919,0.751723
0.520000,0.565611,0.577829,0.551878,0.575513,0.553887,0.534756,0.569917,0.560630,0.006819,0.012163,0.004981,0.008885,0.730459
0.525000,0.588503,0.601194,0.574547,0.598703,0.577965,0.554856,0.592942,0.583368,0.007222,0.012380,0.005135,0.008802,0.711022
0.530000,0.611251,0.624262,0.597270,0.621614,0.602050,0.575090,0.615764,0.606008,0.007572,0.012495,0.005243,0.008652,0.692419
0.535000,0.633574,0.646738,0.619760,0.643963,0.625908,0.595686,0.638102,0.628359,0.007797,0.012409,0.005215,0.008299,0.668847
0.540000,0.655205,0.668347,0.641736,0.665487,0.649307,0.618578,0.659688,0.650524,0.007582,0.011655,0.004681,0.007196,0.617383
0.545000,0.675903,0.688848,0.662939,0.685952,0.672031,0.641165,0.680284,0.671870,0.007257,0.010801,0.004033,0.006003,0.555739
0.550000,0.695461,0.708039,0.683138,0.705159,0.693886,0.663161,0.699686,0.692178,0.006839,0.009880,0.003283,0.004743,0.480041
0.555000,0.713710,0.725767,0.702139,0.722957,0.714712,0.684298,0.717733,0.711268,0.006354,0.008933,0.002442,0.003433,0.384325
0.560000,0.730527,0.741927,0.719793,0.739241,0.734391,0.704340,0.734310,0.729000,0.005837,0.008007,0.001527,0.002095,0.261607
0.565000,0.745835,0.756466,0.737391,0.753952,0.752845,0.723097,0.749347,0.745516,0.005254,0.007047,0.000319,0.000428,0.060716
0.570000,0.759600,0.769378,0.753884,0.767078,0.770041,0.740438,0.762821,0.760607,0.004707,0.006188,-0.001007,-0.001324,-0.213937
0.575000,0.771834,0.780696,0.768448,0.778649,0.785986,0.756300,0.774748,0.774138,0.004300,0.005555,-0.002304,-0.002976,-0.535814
0.580000,0.784000,0.790491,0.781114,0.788729,0.800721,0.770689,0.786473,0.786369,0.004091,0.005202,-0.002369,-0.003013,-0.579076
0.585000,0.794463,0.799221,0.791978,0.797414,0.814321,0.783693,0.796589,0.797203,0.004112,0.005158,-0.002740,-0.003437,-0.666342
0.590000,0.803397,0.807107,0.801192,0.804817,0.826878,0.795469,0.805226,0.806782,0.004357,0.005400,-0.003385,-0.004196,-0.776911
0.595000,0.811029,0.813661,0.808959,0.811789,0.838503,0.806238,0.812621,0.815295,0.004771,0.005852,-0.004266,-0.005232,-0.894152
0.600000,0.817628,0.819127,0.815525,0.818021,0.849309,0.816274,0.819056,0.822885,0.005318,0.006463,-0.005257,-0.006388,-0.988530
0.605000,0.823502,0.823778,0.821172,0.823491,0.859413,0.825878,0.824842,0.829762,0.005965,0.007189,-0.006260,-0.007544,-1.049455
0.610000,0.828980,0.827908,0.826212,0.828523,0.868921,0.835356,0.830315,0.836206,0.006667,0.007973,-0.007226,-0.008641,-1.083846
0.615000,0.834404,0.831827,0.830975,0.833451,0.877930,0.844990,0.835817,0.842498,0.007382,0.008762,-0.008094,-0.009607,-1.096451
0.620000,0.840110,0.835854,0.835802,0.838610,0.886523,0.855011,0.841675,0.848912,0.008068,0.009504,-0.008802,-0.010369,-1.090977
0.625000,0.846407,0.840306,0.841026,0.844317,0.894762,0.865570,0.848187,0.855695,0.008683,0.010147,-0.009288,-0.010854,-1.069676
0.630000,0.853551,0.845481,0.846951,0.850846,0.903336,0.876724,0.855588,0.863154,0.009278,0.010749,-0.009603,-0.011125,-1.035029
0.635000,0.861721,0.851634,0.853829,0.858405,0.915994,0.888425,0.864034,0.872054,0.010325,0.011840,-0.010333,-0.011849,-1.000775
0.640000,0.870997,0.858956,0.861834,0.867110,0.928205,0.900526,0.873577,0.881701,0.011117,0.012609,-0.010704,-0.012140,-0.962850
0.645000,0.881346,0.867544,0.871038,0.876968,0.939745,0.912797,0.884153,0.892041,0.011600,0.013004,-0.010695,-0.011989,-0.921983
0.650000,0.892619,0.877385,0.881397,0.887868,0.950404,0.924953,0.895588,0.902933,0.011741,0.013003,-0.010314,-0.011423,-0.878460
0.655000,0.904559,0.888346,0.892744,0.899587,0.960006,0.936687,0.907605,0.914162,0.011532,0.012615,-0.009603,-0.010505,-0.832726
0.660000,0.916828,0.900177,0.904805,0.911806,0.968436,0.947704,0.919856,0.925464,0.010993,0.011878,-0.008636,-0.009332,-0.785591
0.665000,0.929045,0.912533,0.917219,0.924146,0.975639,0.957756,0.931958,0.936542,0.010170,0.010859,-0.007497,-0.008005,-0.737168
0.670000,0.940822,0.925009,0.929580,0.936204,0.981627,0.966660,0.943532,0.947102,0.009131,0.009641,-0.006280,-0.006631,-0.687767
0.675000,0.951805,0.937181,0.941480,0.947600,0.986468,0.974313,0.954245,0.956881,0.007953,0.008311,-0.005076,-0.005305,-0.638250
0.680000,0.961716,0.948651,0.952553,0.958016,0.990272,0.980695,0.963839,0.965671,0.006720,0.006959,-0.003955,-0.004096,-0.588542
0.685000,0.970364,0.959090,0.962508,0.967219,0.993178,0.985857,0.972151,0.973334,0.005506,0.005657,-0.002970,-0.003051,-0.539412
0.690000,0.977663,0.968265,0.971154,0.975079,0.995334,0.989905,0.979116,0.979809,0.004374,0.004464,-0.002146,-0.002190,-0.490626
0.695000,0.983619,0.976052,0.978410,0.981568,0.996890,0.992983,0.984762,0.985111,0.003368,0.003419,-0.001492,-0.001515,-0.442993
0.700000,0.988320,0.982435,0.984292,0.986746,0.997980,0.995253,0.989189,0.989316,0.002513,0.002540,-0.000996,-0.001007,-0.396339
0.705000,0.991906,0.987485,0.988897,0.990740,0.998721,0.996875,0.992545,0.992544,0.001817,0.001831,-0.000638,-0.000643,-0.351128
0.710000,0.994553,0.991344,0.992381,0.993717,0.999212,0.997999,0.995006,0.994943,0.001273,0.001279,-0.000390,-0.000392,-0.306363
