Vf,S2016
0.250,0.000000
0.255,0.000000
0.260,0.000001
0.265,0.000001
0.270,0.000003
0.275,0.000005
0.280,0.000010
0.285,0.000019
0.290,0.000035
0.295,0.000062
0.300,0.000108
0.305,0.000184
0.310,0.000307
0.315,0.000501
0.320,0.000799
0.325,0.001248
0.330,0.001909
0.335,0.002860
0.340,0.004197
0.345,0.006034
0.350,0.008503
0.355,0.011748
0.360,0.015922
0.365,0.021173
0.370,0.027642
0.375,0.035444
0.380,0.044662
0.385,0.055339
0.390,0.067465
0.395,0.080980
0.400,0.095775
0.405,0.111694
0.410,0.128548
0.415,0.146126
0.420,0.164212
0.425,0.182596
0.430,0.201092
0.435,0.219548
0.440,0.237855
0.445,0.255951
0.450,0.273826
0.455,0.291516
0.460,0.309101
0.465,0.326694
0.470,0.344434
0.475,0.362471
0.480,0.380956
0.485,0.400025
0.490,0.419791
0.495,0.440328
0.500,0.461666
0.505,0.483786
0.510,0.506617
0.515,0.530039
0.520,0.553887
0.525,0.577965
0.530,0.602050
0.535,0.625908
0.540,0.649307
0.545,0.672031
0.550,0.693886
0.555,0.714712
0.560,0.734391
0.565,0.752845
0.570,0.770041
0.575,0.785986
0.580,0.800721
0.585,0.814321
0.590,0.826878
0.595,0.838503
0.600,0.849309
0.605,0.859413
0.610,0.868921
0.615,0.877930
0.620,0.886523
0.625,0.894762
0.630,0.903336
0.635,0.915994
0.640,0.928205
0.645,0.939745
0.650,0.950404
0.655,0.960006
0.660,0.968436
0.665,0.975639
0.670,0.981627
0.675,0.986468
0.680,0.990272
0.685,0.993178
0.690,0.995334
0.695,0.996890
0.700,0.997980
0.705,0.998721
0.710,0.999212
0.715,0.999527
0.720,0.999724
0.725,0.999843
0.730,0.999913
0.735,0.999953
0.740,0.999975
0.745,0.999987
0.750,0.999994
