Vf,composite
0.250,0.000001
0.255,0.000001
0.260,0.000003
0.265,0.000006
0.270,0.000011
0.275,0.000022
0.280,0.000040
0.285,0.000073
0.290,0.000129
0.295,0.000224
0.300,0.000378
0.305,0.000624
0.310,0.001006
0.315,0.001585
0.320,0.002442
0.325,0.003679
0.330,0.005422
0.335,0.007817
0.340,0.011032
0.345,0.015244
0.350,0.020635
0.355,0.027375
0.360,0.035609
0.365,0.045442
0.370,0.056926
0.375,0.070046
0.380,0.084719
0.385,0.100787
0.390,0.118032
0.395,0.136180
0.400,0.154924
0.405,0.173943
0.410,0.192923
0.415,0.211579
0.420,0.229675
0.425,0.247035
0.430,0.263556
0.435,0.279209
0.440,0.294040
0.445,0.308165
0.450,0.321755
0.455,0.335031
0.460,0.348239
0.465,0.361639
0.470,0.375488
0.475,0.390018
0.480,0.405429
0.485,0.421869
0.490,0.439431
0.495,0.458143
0.500,0.477969
0.505,0.498810
0.510,0.520507
0.515,0.542855
0.520,0.565611
0.525,0.588503
0.530,0.611251
0.535,0.633574
0.540,0.655205
0.545,0.675903
0.550,0.695461
0.555,0.713710
0.560,0.730527
0.565,0.745835
0.570,0.759600
0.575,0.771834
0.580,0.784000
0.585,0.794463
0.590,0.803397
0.595,0.811029
0.600,0.817628
0.605,0.823502
0.610,0.828980
0.615,0.834404
0.620,0.840110
0.625,0.846407
0.630,0.853551
0.635,0.861721
0.640,0.870997
0.645,0.881346
0.650,0.892619
0.655,0.904559
0.660,0.916828
0.665,0.929045
0.670,0.940822
0.675,0.951805
0.680,0.961716
0.685,0.970364
0.690,0.977663
0.695,0.983619
0.700,0.988320
0.705,0.991906
0.710,0.994553
0.715,0.996440
0.720,0.997743
0.725,0.998611
0.730,0.999171
0.735,0.999521
0.740,0.999731
0.745,0.999854
0.750,0.999923
