METRIC,composite,P2020,P2016,S2020,S2016,G2018,AG2020
Vf,0.574982,0.583171,0.561709,0.591474,0.629362,0.534268,0.575202
Sf,0.771787,0.795960,0.725497,0.806774,0.901699,0.592327,0.775198
EG,-0.121823,-0.129618,-0.102079,-0.123826,-0.142975,-0.023791,-0.124794
PR,-0.196805,-0.212789,-0.163788,-0.215300,-0.272337,-0.058059,-0.199996
GAMMA,-0.088317,-0.150755,-0.008309,-0.179236,-0.179883,0.048835,-0.098849
BS_50,0.022031,0.012696,0.032871,0.014516,0.038334,0.041016,0.018731
BV_50,0.005274,0.002932,0.008125,0.003361,0.008551,0.011125,0.004428
BS_V,-0.009442,-0.007259,-0.015517,0.010429,0.034561,0.025265,-0.009231
GS,0.016386,0.019196,0.017492,0.017862,0.017075,0.011989,0.016162
MM,0.017636,0.016657,0.020379,0.016836,0.027006,0.018501,0.016897
LO,0.040329,0.035505,0.033531,0.051599,0.000000,0.032220,0.040327
DECL,-17.658945,-24.305746,-13.253651,-21.771419,0.000000,0.167451,-18.031417
R,3.624693,3.558446,3.654205,3.353680,3.105234,2.694267,3.659450
r,2.446850,1.745852,3.519557,1.394258,1.714692,4.119350,2.345000
Sb,0.771787,0.795960,0.725497,0.806774,0.901699,0.592327,0.775198
Ra,0.885893,0.897980,0.862749,0.903387,0.950850,0.796164,0.887599
Rb,0.385893,0.397980,0.362749,0.403387,0.450850,0.296164,0.387599
Va,0.579718,0.592149,0.582389,0.580961,0.501865,0.569002,0.579203
Vb,0.379952,0.372346,0.384079,0.367440,0.355642,0.398778,0.380470
L_Vf,0.550000,0.560000,0.540000,0.570000,0.605000,0.510000,0.555000
L_Sf,0.695461,0.741927,0.641736,0.767078,0.859413,0.495654,0.717733
U_Vf,0.595000,0.605000,0.585000,0.615000,0.650000,0.555000,0.600000
U_Sf,0.811029,0.823778,0.791978,0.833451,0.950404,0.684298,0.819056
