Vf,composite,P2020,P2016,S2018,S2016,G2018,AG2020,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
0.250000,0.003244,0.005728,0.010341,0.000867,0.007708,0.000364,0.002722,0.004622,0.001626,0.351796,-0.001378,-0.298139,-0.847478
0.255000,0.004947,0.008342,0.014275,0.001438,0.010956,0.000629,0.004201,0.006640,0.002228,0.335542,-0.001693,-0.254970,-0.759874
0.260000,0.007250,0.011667,0.018936,0.002296,0.014962,0.001050,0.006233,0.009191,0.002927,0.318464,-0.001941,-0.211185,-0.663136
0.265000,0.010226,0.015695,0.024189,0.003535,0.019668,0.001692,0.008900,0.012280,0.003688,0.300326,-0.002054,-0.167264,-0.556941
0.270000,0.013897,0.020342,0.029837,0.005251,0.024945,0.002633,0.012244,0.015875,0.004467,0.281386,-0.001978,-0.124598,-0.442803
0.275000,0.018228,0.025449,0.035648,0.007533,0.030601,0.003960,0.016252,0.019907,0.005208,0.261617,-0.001679,-0.084342,-0.322389
0.280000,0.023118,0.030809,0.041400,0.010448,0.036423,0.005762,0.020847,0.024282,0.005857,0.241207,-0.001164,-0.047937,-0.198737
0.285000,0.028412,0.036187,0.046922,0.014026,0.042207,0.008116,0.025895,0.028892,0.006370,0.220476,-0.000480,-0.016614,-0.075353
0.290000,0.033922,0.041371,0.052122,0.018252,0.047796,0.011079,0.031218,0.033640,0.006717,0.199673,0.000282,0.008383,0.041983
0.295000,0.039461,0.046199,0.057001,0.023066,0.053108,0.014673,0.036623,0.038445,0.006891,0.179243,0.001016,0.026427,0.147439
0.300000,0.044871,0.050592,0.061637,0.028360,0.058139,0.018882,0.041934,0.043257,0.006906,0.159650,0.001614,0.037312,0.233710
0.305000,0.050053,0.054563,0.066156,0.034003,0.062946,0.023646,0.047024,0.048056,0.006797,0.141439,0.001997,0.041556,0.293806
0.310000,0.054976,0.058207,0.070703,0.039853,0.067627,0.028872,0.051830,0.052849,0.006610,0.125073,0.002127,0.040247,0.321785
0.315000,0.059677,0.061684,0.075403,0.045782,0.072286,0.034442,0.056366,0.057661,0.006395,0.110907,0.002016,0.034963,0.315246
0.320000,0.064247,0.065188,0.080345,0.051696,0.077004,0.040232,0.060712,0.062530,0.006196,0.099088,0.001717,0.027459,0.277114
