Vf,AG2020
0.250,0.002722
0.255,0.004201
0.260,0.006233
0.265,0.008900
0.270,0.012244
0.275,0.016252
0.280,0.020847
0.285,0.025895
0.290,0.031218
0.295,0.036623
0.300,0.041934
0.305,0.047024
0.310,0.051830
0.315,0.056366
0.320,0.060712
0.325,0.064994
0.330,0.069366
0.335,0.073980
0.340,0.078968
0.345,0.084435
0.350,0.090450
0.355,0.097053
0.360,0.104260
0.365,0.112077
0.370,0.120503
0.375,0.129539
0.380,0.139187
0.385,0.149455
0.390,0.160344
0.395,0.171853
0.400,0.183970
0.405,0.196670
0.410,0.209920
0.415,0.223676
0.420,0.237888
0.425,0.252509
0.430,0.267490
0.435,0.282792
0.440,0.298382
0.445,0.314229
0.450,0.330308
0.455,0.346590
0.460,0.363041
0.465,0.379619
0.470,0.396271
0.475,0.412931
0.480,0.429524
0.485,0.445965
0.490,0.462162
0.495,0.478023
0.500,0.493458
0.505,0.508384
0.510,0.522727
0.515,0.536427
0.520,0.549441
0.525,0.561917
0.530,0.574246
0.535,0.586234
0.540,0.597921
0.545,0.609367
0.550,0.620652
0.555,0.631870
0.560,0.643124
0.565,0.654523
0.570,0.666171
0.575,0.678169
0.580,0.690602
0.585,0.703539
0.590,0.717028
0.595,0.731097
0.600,0.745746
0.605,0.760950
0.610,0.776658
0.615,0.792791
0.620,0.809246
0.625,0.825892
0.630,0.842578
0.635,0.859131
0.640,0.875365
0.645,0.891085
0.650,0.906096
0.655,0.920214
0.660,0.933273
0.665,0.945136
0.670,0.955705
0.675,0.964927
0.680,0.972796
0.685,0.979354
0.690,0.984686
0.695,0.988909
0.700,0.992166
0.705,0.994607
0.710,0.996385
0.715,0.997643
0.720,0.998505
0.725,0.999079
0.730,0.999449
0.735,0.999680
0.740,0.999820
0.745,0.999902
0.750,0.999948
