Vf,P2016
0.250,0.010341
0.255,0.014275
0.260,0.018936
0.265,0.024189
0.270,0.029837
0.275,0.035648
0.280,0.041400
0.285,0.046922
0.290,0.052122
0.295,0.057001
0.300,0.061637
0.305,0.066156
0.310,0.070703
0.315,0.075403
0.320,0.080345
0.325,0.085564
0.330,0.091056
0.335,0.096782
0.340,0.102690
0.345,0.108736
0.350,0.114891
0.355,0.121159
0.360,0.127568
0.365,0.134173
0.370,0.141043
0.375,0.148250
0.380,0.155865
0.385,0.163947
0.390,0.172537
0.395,0.181662
0.400,0.191333
0.405,0.201546
0.410,0.212287
0.415,0.223529
0.420,0.235242
0.425,0.247386
0.430,0.259917
0.435,0.272788
0.440,0.285952
0.445,0.299362
0.450,0.312972
0.455,0.326744
0.460,0.340642
0.465,0.354637
0.470,0.368702
0.475,0.382813
0.480,0.396947
0.485,0.411078
0.490,0.425174
0.495,0.439201
0.500,0.453147
0.505,0.467280
0.510,0.481560
0.515,0.495907
0.520,0.510242
0.525,0.524486
0.530,0.538574
0.535,0.552454
0.540,0.566093
0.545,0.579482
0.550,0.592639
0.555,0.605605
0.560,0.618449
0.565,0.631258
0.570,0.644137
0.575,0.657200
0.580,0.670566
0.585,0.684347
0.590,0.698642
0.595,0.713533
0.600,0.729074
0.605,0.745288
0.610,0.762157
0.615,0.779625
0.620,0.797587
0.625,0.815893
0.630,0.834352
0.635,0.852734
0.640,0.870781
0.645,0.888223
0.650,0.904790
0.655,0.920236
0.660,0.934349
0.665,0.946973
0.670,0.958013
0.675,0.967444
0.680,0.975303
0.685,0.981688
0.690,0.986740
0.695,0.990631
0.700,0.993545
0.705,0.995667
0.710,0.997168
0.715,0.998198
0.720,0.998885
0.725,0.999329
0.730,0.999608
0.735,0.999777
0.740,0.999877
0.745,0.999934
0.750,0.999966
