Vf,S2018
0.250,0.000867
0.255,0.001438
0.260,0.002296
0.265,0.003535
0.270,0.005251
0.275,0.007533
0.280,0.010448
0.285,0.014026
0.290,0.018252
0.295,0.023066
0.300,0.028360
0.305,0.034003
0.310,0.039853
0.315,0.045782
0.320,0.051696
0.325,0.057542
0.330,0.063309
0.335,0.069024
0.340,0.074737
0.345,0.080506
0.350,0.086387
0.355,0.092428
0.360,0.098670
0.365,0.105146
0.370,0.111895
0.375,0.118960
0.380,0.126400
0.385,0.134279
0.390,0.142673
0.395,0.151652
0.400,0.161280
0.405,0.171605
0.410,0.182651
0.415,0.194420
0.420,0.206888
0.425,0.220014
0.430,0.233740
0.435,0.247998
0.440,0.262717
0.445,0.277826
0.450,0.293254
0.455,0.308939
0.460,0.324817
0.465,0.340832
0.470,0.356927
0.475,0.373049
0.480,0.389141
0.485,0.405152
0.490,0.421029
0.495,0.436721
0.500,0.452183
0.505,0.467374
0.510,0.482258
0.515,0.496809
0.520,0.511005
0.525,0.524834
0.530,0.538290
0.535,0.551375
0.540,0.564094
0.545,0.576458
0.550,0.588481
0.555,0.600180
0.560,0.611572
0.565,0.622675
0.570,0.635740
0.575,0.650117
0.580,0.664738
0.585,0.679603
0.590,0.694708
0.595,0.710045
0.600,0.725603
0.605,0.741368
0.610,0.757324
0.615,0.773454
0.620,0.789734
0.625,0.806133
0.630,0.822603
0.635,0.839076
0.640,0.855455
0.645,0.871616
0.650,0.887400
0.655,0.902625
0.660,0.917093
0.665,0.930605
0.670,0.942981
0.675,0.954074
0.680,0.963787
0.685,0.972082
0.690,0.978980
0.695,0.984561
0.700,0.988948
0.705,0.992296
0.710,0.994776
0.715,0.996556
0.720,0.997794
0.725,0.998628
0.730,0.999172
0.735,0.999515
0.740,0.999725
0.745,0.999848
0.750,0.999919
