Vf,composite
0.250,0.003244
0.255,0.004947
0.260,0.007250
0.265,0.010226
0.270,0.013897
0.275,0.018228
0.280,0.023118
0.285,0.028412
0.290,0.033922
0.295,0.039461
0.300,0.044871
0.305,0.050053
0.310,0.054976
0.315,0.059677
0.320,0.064247
0.325,0.068807
0.330,0.073479
0.335,0.078372
0.340,0.083561
0.345,0.089091
0.350,0.094977
0.355,0.101215
0.360,0.107797
0.365,0.114720
0.370,0.121997
0.375,0.129655
0.380,0.137738
0.385,0.146296
0.390,0.155383
0.395,0.165044
0.400,0.175309
0.405,0.186192
0.410,0.197688
0.415,0.209778
0.420,0.222426
0.425,0.235594
0.430,0.249240
0.435,0.263321
0.440,0.277802
0.445,0.292648
0.450,0.307831
0.455,0.323319
0.460,0.339082
0.465,0.355083
0.470,0.371278
0.475,0.387612
0.480,0.404022
0.485,0.420435
0.490,0.436770
0.495,0.452940
0.500,0.468854
0.505,0.484423
0.510,0.499562
0.515,0.514190
0.520,0.528241
0.525,0.541658
0.530,0.555214
0.535,0.568413
0.540,0.581248
0.545,0.593753
0.550,0.605989
0.555,0.618045
0.560,0.630028
0.565,0.642060
0.570,0.654269
0.575,0.666780
0.580,0.679709
0.585,0.693153
0.590,0.707186
0.595,0.721852
0.600,0.737165
0.605,0.753105
0.610,0.769619
0.615,0.786623
0.620,0.803999
0.625,0.821599
0.630,0.839249
0.635,0.856749
0.640,0.873885
0.645,0.890432
0.650,0.906167
0.655,0.920882
0.660,0.934396
0.665,0.946567
0.670,0.957301
0.675,0.966560
0.680,0.974362
0.685,0.980778
0.690,0.985920
0.695,0.989933
0.700,0.992981
0.705,0.995231
0.710,0.996845
0.715,0.997969
0.720,0.998728
0.725,0.999226
0.730,0.999542
0.735,0.999737
0.740,0.999854
0.745,0.999921
0.750,0.999959
