METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2018,METRIC,AG2020
Vf,0.525098,Vf,0.505998,Vf,0.496206,Vf,0.566709,Vf,0.492548,Vf,0.586676,Vf,0.523254
Sf,0.541915,Sf,0.508323,Sf,0.442569,Sf,0.626407,Sf,0.399319,Sf,0.684550,Sf,0.557527
EG,0.008281,EG,0.003673,EG,0.049843,EG,0.007011,EG,0.085777,EG,-0.011198,EG,-0.011019
PR,-0.016817,PR,-0.002325,PR,0.053637,PR,-0.059698,PR,0.093229,PR,-0.097874,PR,-0.034273
GAMMA,0.026128,GAMMA,0.008312,GAMMA,0.046848,GAMMA,0.047902,GAMMA,0.075313,GAMMA,0.003021,GAMMA,0.000496
BS_50,0.031146,BS_50,0.008661,BS_50,0.046853,BS_50,0.047817,BS_50,0.075018,BS_50,0.027690,BS_50,0.006542
BV_50,0.010150,BV_50,0.003050,BV_50,0.016428,BV_50,0.016124,BV_50,0.021294,BV_50,0.008047,BV_50,0.002191
BS_V,0.035392,BS_V,0.008925,BS_V,0.046782,BS_V,0.064867,BS_V,0.074730,BS_V,0.066727,BS_V,0.011857
GS,0.026124,GS,0.018279,GS,0.030557,GS,0.032265,GS,0.037511,GS,0.030465,GS,0.017678
MM,0.010014,MM,0.002854,MM,0.011033,MM,0.015314,MM,0.015399,MM,0.005950,MM,-0.003213
LO,0.027335,LO,0.008089,LO,0.014923,LO,0.070530,LO,0.024520,LO,0.083852,LO,0.022602
DECL,1.526484,DECL,0.753620,DECL,8.062253,DECL,2.999531,DECL,13.477948,DECL,0.241571,DECL,-0.803363
R,1.670038,R,1.387578,R,15.137329,R,1.894904,R,13.510558,R,2.129196,R,2.473870
r,2.711078,r,2.773292,r,2.789315,r,2.612983,r,3.404166,r,2.164051,r,2.495188
Sb,0.541915,Sb,0.508323,Sb,0.442569,Sb,0.626407,Sb,0.399319,Sb,0.684550,Sb,0.557527
Ra,0.770957,Ra,0.754161,Ra,0.721284,Ra,0.813204,Ra,0.699660,Ra,0.842275,Ra,0.778764
Rb,0.270957,Rb,0.254161,Rb,0.221284,Rb,0.313204,Rb,0.199660,Rb,0.342275,Rb,0.278764
Va,0.601587,Va,0.617034,Va,0.619008,Va,0.575411,Va,0.598396,Va,0.570183,Va,0.605232
Vb,0.371079,Vb,0.374877,Vb,0.366069,Vb,0.354059,Vb,0.377085,Vb,0.345964,Vb,0.372166
L_Vf,0.505000,L_Vf,0.485000,L_Vf,0.475000,L_Vf,0.545000,L_Vf,0.470000,L_Vf,0.565000,L_Vf,0.500000
L_Sf,0.484423,L_Sf,0.446975,L_Sf,0.382813,L_Sf,0.576458,L_Sf,0.325846,L_Sf,0.646721,L_Sf,0.493458
U_Vf,0.550000,U_Vf,0.530000,U_Vf,0.520000,U_Vf,0.590000,U_Vf,0.515000,U_Vf,0.610000,U_Vf,0.545000
U_Sf,0.605989,U_Sf,0.572017,U_Sf,0.510242,U_Sf,0.694708,U_Sf,0.477908,U_Sf,0.746172,U_Sf,0.609367
