Vf,AG2018
0.250,0.000278
0.255,0.000504
0.260,0.000883
0.265,0.001494
0.270,0.002446
0.275,0.003874
0.280,0.005940
0.285,0.008819
0.290,0.012687
0.295,0.017696
0.300,0.023947
0.305,0.031467
0.310,0.040184
0.315,0.049925
0.320,0.060416
0.325,0.071306
0.330,0.082201
0.335,0.092707
0.340,0.102473
0.345,0.111225
0.350,0.118786
0.355,0.125088
0.360,0.130159
0.365,0.134104
0.370,0.137083
0.375,0.139283
0.380,0.140899
0.385,0.142112
0.390,0.143091
0.395,0.143982
0.400,0.144914
0.405,0.146006
0.410,0.147370
0.415,0.149121
0.420,0.151377
0.425,0.154265
0.430,0.157922
0.435,0.162494
0.440,0.168189
0.445,0.175239
0.450,0.183795
0.455,0.194050
0.460,0.206190
0.465,0.220380
0.470,0.236759
0.475,0.255430
0.480,0.276444
0.485,0.299799
0.490,0.325428
0.495,0.353194
0.500,0.382895
0.505,0.414265
0.510,0.446978
0.515,0.480665
0.520,0.514930
0.525,0.549364
0.530,0.583565
0.535,0.617162
0.540,0.649823
0.545,0.681273
0.550,0.711302
0.555,0.739762
0.560,0.766568
0.565,0.791686
0.570,0.815122
0.575,0.836909
0.580,0.857093
0.585,0.875721
0.590,0.892834
0.595,0.908465
0.600,0.922639
0.605,0.935376
0.610,0.946698
0.615,0.956636
0.620,0.965237
0.625,0.972563
0.630,0.978697
0.635,0.983742
0.640,0.987811
0.645,0.991029
0.650,0.993521
0.655,0.995411
0.660,0.996814
0.665,0.997832
0.670,0.998554
0.675,0.999056
0.680,0.999397
0.685,0.999622
0.690,0.999769
0.695,0.999861
0.700,0.999919
0.705,0.999953
0.710,0.999974
0.715,0.999986
0.720,0.999992
0.725,0.999996
0.730,0.999998
0.735,0.999999
0.740,0.999999
0.745,1.000000
0.750,1.000000
