Vf,P2016
0.250,0.000439
0.255,0.000781
0.260,0.001342
0.265,0.002228
0.270,0.003576
0.275,0.005550
0.280,0.008332
0.285,0.012107
0.290,0.017039
0.295,0.023243
0.300,0.030755
0.305,0.039511
0.310,0.049340
0.315,0.059959
0.320,0.071005
0.325,0.082067
0.330,0.092733
0.335,0.102634
0.340,0.111482
0.345,0.119097
0.350,0.125406
0.355,0.130442
0.360,0.134316
0.365,0.137192
0.370,0.139260
0.375,0.140709
0.380,0.141715
0.385,0.142430
0.390,0.142980
0.395,0.143470
0.400,0.143987
0.405,0.144609
0.410,0.145413
0.415,0.146478
0.420,0.147893
0.425,0.149758
0.430,0.152337
0.435,0.155724
0.440,0.160096
0.445,0.165654
0.450,0.172620
0.455,0.181223
0.460,0.191693
0.465,0.204254
0.470,0.219102
0.475,0.236401
0.480,0.256265
0.485,0.278747
0.490,0.303825
0.495,0.331401
0.500,0.361293
0.505,0.393243
0.510,0.426919
0.515,0.461933
0.520,0.497854
0.525,0.534234
0.530,0.570620
0.535,0.606585
0.540,0.641739
0.545,0.675743
0.550,0.708321
0.555,0.739259
0.560,0.768406
0.565,0.795665
0.570,0.820983
0.575,0.844343
0.580,0.865753
0.585,0.885239
0.590,0.902836
0.595,0.918592
0.600,0.932563
0.605,0.944815
0.610,0.955430
0.615,0.964502
0.620,0.972142
0.625,0.978475
0.630,0.983636
0.635,0.987768
0.640,0.991015
0.645,0.993517
0.650,0.995409
0.655,0.996809
0.660,0.997825
0.665,0.998546
0.670,0.999047
0.675,0.999388
0.680,0.999615
0.685,0.999763
0.690,0.999857
0.695,0.999915
0.700,0.999951
0.705,0.999972
0.710,0.999985
0.715,0.999992
0.720,0.999996
0.725,0.999998
0.730,0.999999
0.735,0.999999
0.740,1.000000
0.745,1.000000
0.750,1.000000
