METRIC,composite,P2020,P2016,S2020,S2018,G2018,AG2018,MEAN,SEM,RSE,Δ,Δ/MEAN,Δ/SEM
Vf,0.462228,0.471691,0.452877,0.450504,0.487067,0.432364,0.481899,0.462734,0.008580,0.018542,-0.000506,-0.001094,-0.058974
Sf,0.364521,0.355322,0.375017,0.346110,0.380816,0.350618,0.378062,0.364324,0.006260,0.017183,0.000197,0.000541,0.031470
EG,0.059935,0.088060,0.030737,0.054898,0.093318,0.014110,0.085736,0.061143,0.013589,0.222249,-0.001208,-0.019757,-0.088895
PR,0.097707,0.116369,0.077860,0.104394,0.106251,0.081746,0.103837,0.098409,0.006189,0.062891,-0.000702,-0.007133,-0.113427
GAMMA,0.115079,0.118530,0.109851,0.125839,0.111230,0.111255,0.112827,0.114922,0.002513,0.021867,0.000157,0.001366,0.062475
BS_50,0.108050,0.108356,0.105409,0.108102,0.109522,0.109485,0.109870,0.108457,0.000674,0.006214,-0.000407,-0.003753,-0.603858
BV_50,0.043866,0.037545,0.050826,0.037311,0.049295,0.043409,0.048536,0.044487,0.002453,0.055140,-0.000621,-0.013959,-0.253159
BS_V,0.079551,0.089826,0.069657,0.048256,0.106884,0.011513,0.104369,0.071751,0.015067,0.209990,0.007800,0.108709,0.517688
GS,0.059529,0.052833,0.068169,0.058923,0.055763,0.067589,0.056945,0.060037,0.002609,0.043457,-0.000508,-0.008461,-0.194711
MM,0.073859,0.063733,0.089643,0.068148,0.075005,0.079994,0.075951,0.075412,0.003711,0.049210,-0.001553,-0.020594,-0.418486
LO,0.048114,0.060834,0.039214,0.030307,0.087148,-0.000555,0.079881,0.049472,0.013477,0.272417,-0.001358,-0.027450,-0.100764
DECL,22.127879,25.092450,19.613680,21.401212,26.118355,16.321188,25.351467,22.316392,1.585957,0.071067,-0.188513,-0.008447,-0.118864
R,3.586748,5.110685,2.652275,3.109150,9.215505,2.208622,6.736512,4.838792,1.118350,0.231122,-1.252044,-0.258751,-1.119546
r,0.540073,0.923661,0.321118,0.566744,0.615027,0.563710,0.503301,0.582260,0.080134,0.137626,-0.042187,-0.072454,-0.526456
Sb,0.364521,0.355322,0.375017,0.346110,0.380816,0.350618,0.378062,0.364324,0.006260,0.017183,0.000197,0.000541,0.031470
Ra,0.682261,0.677661,0.687508,0.673055,0.690408,0.675309,0.689031,0.682162,0.003130,0.004588,0.000099,0.000145,0.031629
Rb,0.182261,0.177661,0.187508,0.173055,0.190408,0.175309,0.189031,0.182162,0.003130,0.017183,0.000099,0.000543,0.031629
Va,0.641575,0.623415,0.663032,0.642087,0.624442,0.667785,0.627739,0.641417,0.008088,0.012610,0.000158,0.000246,0.019535
Vb,0.310310,0.315750,0.297754,0.327605,0.288410,0.332770,0.292379,0.309111,0.007710,0.024942,0.001199,0.003879,0.155512
L_Vf,0.440000,0.450000,0.430000,0.430000,0.465000,0.410000,0.460000,0.440833,0.008604,0.019518,-0.000833,-0.001890,-0.096815
L_Sf,0.351065,0.337170,0.366368,0.332713,0.368578,0.333312,0.368050,0.351032,0.007471,0.021283,0.000033,0.000094,0.004417
U_Vf,0.485000,0.495000,0.475000,0.475000,0.510000,0.455000,0.505000,0.485833,0.008604,0.017710,-0.000833,-0.001715,-0.096815
U_Sf,0.378099,0.383225,0.382089,0.362314,0.401259,0.361081,0.395011,0.380830,0.006730,0.017672,-0.002731,-0.007171,-0.405795
