Vf,P2016
0.250,0.005908
0.255,0.009260
0.260,0.013989
0.265,0.020388
0.270,0.028706
0.275,0.039100
0.280,0.051606
0.285,0.066109
0.290,0.082353
0.295,0.099957
0.300,0.118462
0.305,0.137377
0.310,0.156241
0.315,0.174656
0.320,0.192317
0.325,0.209021
0.330,0.224658
0.335,0.239191
0.340,0.252635
0.345,0.265036
0.350,0.276451
0.355,0.286941
0.360,0.296563
0.365,0.305370
0.370,0.313410
0.375,0.320730
0.380,0.327376
0.385,0.333393
0.390,0.338825
0.395,0.343717
0.400,0.348109
0.405,0.352045
0.410,0.355566
0.415,0.358715
0.420,0.361535
0.425,0.364071
0.430,0.366368
0.435,0.368471
0.440,0.370423
0.445,0.372263
0.450,0.374026
0.455,0.375632
0.460,0.377121
0.465,0.378681
0.470,0.380327
0.475,0.382089
0.480,0.384003
0.485,0.386125
0.490,0.388528
0.495,0.391309
0.500,0.394591
0.505,0.398525
0.510,0.403288
0.515,0.409082
0.520,0.416128
0.525,0.424654
0.530,0.434890
0.535,0.447046
0.540,0.461298
0.545,0.477773
0.550,0.496529
0.555,0.517547
0.560,0.540717
0.565,0.565840
0.570,0.592631
0.575,0.620732
0.580,0.649730
0.585,0.679178
0.590,0.708623
0.595,0.737631
0.600,0.765803
0.605,0.792798
0.610,0.818339
0.615,0.842216
0.620,0.864284
0.625,0.884458
0.630,0.902702
0.635,0.919017
0.640,0.933441
0.645,0.946035
0.650,0.956884
0.655,0.966091
0.660,0.973780
0.665,0.980087
0.670,0.985164
0.675,0.989166
0.680,0.992254
0.685,0.994582
0.690,0.996295
0.695,0.997526
0.700,0.998387
0.705,0.998974
0.710,0.999364
0.715,0.999615
0.720,0.999774
0.725,0.999870
0.730,0.999927
0.735,0.999961
0.740,0.999979
0.745,0.999989
0.750,0.999995
