Vf,S2020
0.250,0.002327
0.255,0.003821
0.260,0.006052
0.265,0.009254
0.270,0.013673
0.275,0.019541
0.280,0.027047
0.285,0.036303
0.290,0.047323
0.295,0.060005
0.300,0.074136
0.305,0.089415
0.310,0.105479
0.315,0.121947
0.320,0.138458
0.325,0.154700
0.330,0.170426
0.335,0.185464
0.340,0.199708
0.345,0.213101
0.350,0.225627
0.355,0.237290
0.360,0.248106
0.365,0.258099
0.370,0.267296
0.375,0.275728
0.380,0.283436
0.385,0.290463
0.390,0.296864
0.395,0.302696
0.400,0.308022
0.405,0.312906
0.410,0.317409
0.415,0.321589
0.420,0.325501
0.425,0.329194
0.430,0.332713
0.435,0.336096
0.440,0.339381
0.445,0.342601
0.450,0.345789
0.455,0.348623
0.460,0.351606
0.465,0.354838
0.470,0.358381
0.475,0.362314
0.480,0.366734
0.485,0.371756
0.490,0.377518
0.495,0.384175
0.500,0.391898
0.505,0.400871
0.510,0.411277
0.515,0.423295
0.520,0.437082
0.525,0.452761
0.530,0.470407
0.535,0.490037
0.540,0.511597
0.545,0.534962
0.550,0.559930
0.555,0.586233
0.560,0.613547
0.565,0.641508
0.570,0.669731
0.575,0.697834
0.580,0.725457
0.585,0.752278
0.590,0.778028
0.595,0.802497
0.600,0.825531
0.605,0.847035
0.610,0.866954
0.615,0.885272
0.620,0.901993
0.625,0.917139
0.630,0.930738
0.635,0.942828
0.640,0.953453
0.645,0.962666
0.650,0.970536
0.655,0.977146
0.660,0.982597
0.665,0.987003
0.670,0.990489
0.675,0.993186
0.680,0.995224
0.685,0.996728
0.690,0.997810
0.695,0.998568
0.700,0.999086
0.705,0.999431
0.710,0.999655
0.715,0.999796
0.720,0.999882
0.725,0.999934
0.730,0.999964
0.735,0.999981
0.740,0.999990
0.745,0.999995
0.750,0.999998
