CD,composite,P2020,P2016,S2020,S2018,G2018,AG2018
13,0.257118,0.268872,0.231234,0.255048,0.279629,0.247027,0.277602
19,0.257579,0.265482,0.245827,0.249286,0.279804,0.244110,0.279381
1,0.260036,0.267933,0.253895,0.261381,0.270627,0.245208,0.273070
11,0.286238,0.295393,0.280014,0.285209,0.302072,0.266654,0.299589
25,0.328745,0.341999,0.307615,0.326600,0.349671,0.303591,0.347844
36,0.334995,0.340003,0.327801,0.328594,0.351954,0.313238,0.354028
4,0.346087,0.368535,0.319766,0.343933,0.367805,0.313504,0.363745
8,0.351187,0.362310,0.333984,0.348581,0.368120,0.329401,0.365819
14,0.353388,0.355344,0.352332,0.344154,0.369665,0.330517,0.372129
2,0.360292,0.384543,0.333148,0.363748,0.375503,0.326048,0.370421
6,0.362381,0.378733,0.337759,0.363637,0.381104,0.334556,0.380071
17,0.371305,0.385529,0.351915,0.369711,0.389470,0.346962,0.388944
31,0.373574,0.396849,0.340287,0.377975,0.394372,0.335750,0.388606
5,0.374563,0.386464,0.350457,0.372377,0.397119,0.351266,0.394256
21,0.375889,0.400011,0.352661,0.370309,0.397394,0.338106,0.392809
26,0.376201,0.405975,0.338574,0.374950,0.399976,0.338101,0.389104
38,0.379187,0.408096,0.359659,0.374491,0.397165,0.335593,0.392820
27,0.380975,0.386367,0.387348,0.375347,0.399802,0.341247,0.400908
10,0.385629,0.404333,0.360640,0.380725,0.410613,0.353474,0.403557
12,0.391109,0.407821,0.364825,0.383987,0.417257,0.362752,0.408340
22,0.394876,0.418590,0.373499,0.392596,0.413512,0.357492,0.408631
3,0.396491,0.426784,0.361642,0.392456,0.420651,0.356470,0.411963
24,0.400117,0.437264,0.374114,0.391913,0.426694,0.347398,0.415690
23,0.463500,0.463595,0.478394,0.444130,0.490724,0.428373,0.483190
15,0.520890,0.485471,0.568635,0.475912,0.558730,0.501035,0.563175
28,0.563849,0.535666,0.600103,0.534134,0.594074,0.534654,0.603126
34,0.621187,0.578402,0.688119,0.579045,0.657009,0.581343,0.663559
7,0.644645,0.650734,0.657580,0.617733,0.675088,0.604469,0.668133
32,0.646121,0.667634,0.637511,0.632401,0.672052,0.601966,0.660670
20,0.665289,0.668197,0.669592,0.644089,0.697281,0.628534,0.689215
16,0.700973,0.679849,0.722530,0.673349,0.745831,0.678087,0.716110
29,0.723064,0.685831,0.757491,0.678976,0.762120,0.715441,0.757095
35,0.734449,0.730314,0.725697,0.710770,0.769775,0.715209,0.760411
18,0.750750,0.746060,0.769063,0.726801,0.773518,0.721106,0.769707
37,0.755310,0.769082,0.743703,0.735895,0.786190,0.719634,0.776779
33,0.762571,0.753030,0.767259,0.735272,0.790343,0.746445,0.781633
9,0.775017,0.770056,0.795988,0.753824,0.797029,0.742632,0.794189
30,0.783181,0.787229,0.789568,0.767462,0.804184,0.750345,0.797495
