Vf,S2016
0.250,0.000015
0.255,0.000030
0.260,0.000057
0.265,0.000105
0.270,0.000188
0.275,0.000328
0.280,0.000553
0.285,0.000907
0.290,0.001446
0.295,0.002242
0.300,0.003380
0.305,0.004957
0.310,0.007078
0.315,0.009841
0.320,0.013334
0.325,0.017619
0.330,0.022719
0.335,0.028616
0.340,0.035243
0.345,0.042492
0.350,0.050221
0.355,0.058268
0.360,0.066474
0.365,0.074699
0.370,0.082837
0.375,0.090828
0.380,0.098657
0.385,0.106353
0.390,0.113979
0.395,0.121617
0.400,0.129359
0.405,0.137293
0.410,0.145499
0.415,0.154042
0.420,0.162979
0.425,0.172362
0.430,0.182244
0.435,0.192683
0.440,0.203749
0.445,0.215523
0.450,0.228092
0.455,0.241546
0.460,0.255967
0.465,0.271420
0.470,0.287940
0.475,0.305531
0.480,0.324152
0.485,0.343721
0.490,0.364114
0.495,0.385169
0.500,0.406701
0.505,0.428506
0.510,0.450376
0.515,0.472115
0.520,0.493542
0.525,0.514508
0.530,0.534899
0.535,0.554638
0.540,0.573689
0.545,0.592052
0.550,0.609756
0.555,0.626856
0.560,0.643425
0.565,0.659541
0.570,0.675284
0.575,0.690730
0.580,0.705940
0.585,0.720961
0.590,0.735825
0.595,0.757321
0.600,0.779330
0.605,0.801440
0.610,0.823368
0.615,0.844805
0.620,0.865439
0.625,0.884974
0.630,0.903144
0.635,0.919734
0.640,0.934590
0.645,0.947627
0.650,0.958830
0.655,0.968251
0.660,0.975997
0.665,0.982222
0.670,0.987109
0.675,0.990853
0.680,0.993653
0.685,0.995695
0.690,0.997147
0.695,0.998154
0.700,0.998834
0.705,0.999281
0.710,0.999567
0.715,0.999746
0.720,0.999855
0.725,0.999919
0.730,0.999956
0.735,0.999977
0.740,0.999988
0.745,0.999994
0.750,0.999997
