METRIC,composite,METRIC,P2020,METRIC,P2016,METRIC,S2018,METRIC,S2016,METRIC,G2020,METRIC,AG2020
Vf,0.581686,Vf,0.599253,Vf,0.587866,Vf,0.584393,Vf,0.590124,Vf,0.567415,Vf,0.564886
Sf,0.681253,Sf,0.718935,Sf,0.675604,Sf,0.705638,Sf,0.736192,Sf,0.638961,Sf,0.639665
EG,-0.017881,EG,-0.020429,EG,0.000128,EG,-0.036852,EG,-0.055944,EG,-0.004131,EG,-0.009893
PR,-0.099567,PR,-0.119682,PR,-0.087738,PR,-0.121245,PR,-0.146068,PR,-0.071546,PR,-0.074779
GAMMA,0.059813,GAMMA,-0.018527,GAMMA,0.018826,GAMMA,0.042893,GAMMA,0.151277,GAMMA,0.039787,GAMMA,0.025531
BS_50,0.073503,BS_50,0.052311,BS_50,0.080239,BS_50,0.091664,BS_50,0.093299,BS_50,0.065469,BS_50,0.070452
BV_50,0.019189,BV_50,0.013973,BV_50,0.022136,BV_50,0.022719,BV_50,0.021540,BV_50,0.018192,BV_50,0.018438
BS_V,0.069547,BS_V,0.067150,BS_V,0.073138,BS_V,0.064120,BS_V,0.059173,BS_V,0.069239,BS_V,0.072749
GS,0.034714,GS,0.034197,GS,0.041934,GS,0.035925,GS,0.035321,GS,0.032474,GS,0.032399
MM,0.012427,MM,0.009231,MM,0.019419,MM,0.017293,MM,0.008985,MM,0.012123,MM,0.009381
LO,0.084327,LO,0.101558,LO,0.080546,LO,0.082357,LO,0.098476,LO,0.071876,LO,0.071883
DECL,4.097107,DECL,3.485354,DECL,1.363626,DECL,2.981496,DECL,8.283878,DECL,3.727694,DECL,4.942280
R,2.218894,R,2.205831,R,1.998543,R,2.436673,R,2.620743,R,2.061285,R,2.152470
r,2.951129,r,2.019165,r,2.212801,r,2.944920,r,4.299281,r,2.651462,r,2.545944
Sb,0.681253,Sb,0.718935,Sb,0.675604,Sb,0.705638,Sb,0.736192,Sb,0.638961,Sb,0.639665
Ra,0.840626,Ra,0.859468,Ra,0.837802,Ra,0.852819,Ra,0.868096,Ra,0.819481,Ra,0.819833
Rb,0.340626,Rb,0.359468,Rb,0.337802,Rb,0.352819,Rb,0.368096,Rb,0.319481,Rb,0.319833
Va,0.550037,Va,0.549079,Va,0.565668,Va,0.544369,Va,0.523315,Va,0.562403,Va,0.552958
Vb,0.365636,Vb,0.349363,Vb,0.353787,Vb,0.373274,Vb,0.378209,Vb,0.365721,Vb,0.375159
L_Vf,0.560000,L_Vf,0.575000,L_Vf,0.565000,L_Vf,0.560000,L_Vf,0.570000,L_Vf,0.545000,L_Vf,0.540000
L_Sf,0.628100,L_Sf,0.671632,L_Sf,0.627371,L_Sf,0.633184,L_Sf,0.675284,L_Sf,0.583116,L_Sf,0.571914
U_Vf,0.605000,U_Vf,0.620000,U_Vf,0.610000,U_Vf,0.605000,U_Vf,0.615000,U_Vf,0.590000,U_Vf,0.585000
U_Sf,0.762235,U_Sf,0.784021,U_Sf,0.736543,U_Sf,0.784462,U_Sf,0.844805,U_Sf,0.710003,U_Sf,0.709963
