Vf,P2020
0.250,0.000213
0.255,0.000390
0.260,0.000693
0.265,0.001192
0.270,0.001985
0.275,0.003202
0.280,0.005007
0.285,0.007595
0.290,0.011180
0.295,0.015983
0.300,0.022211
0.305,0.030025
0.310,0.039524
0.315,0.050715
0.320,0.063502
0.325,0.077685
0.330,0.092967
0.335,0.108977
0.340,0.125299
0.345,0.141505
0.350,0.157186
0.355,0.171984
0.360,0.185610
0.365,0.197858
0.370,0.208606
0.375,0.217817
0.380,0.225526
0.385,0.231832
0.390,0.236879
0.395,0.240838
0.400,0.243901
0.405,0.246259
0.410,0.248098
0.415,0.249591
0.420,0.250895
0.425,0.252151
0.430,0.253486
0.435,0.255015
0.440,0.256844
0.445,0.259075
0.450,0.261804
0.455,0.265125
0.460,0.269129
0.465,0.273900
0.470,0.279515
0.475,0.286039
0.480,0.293525
0.485,0.302008
0.490,0.311504
0.495,0.322010
0.500,0.333499
0.505,0.346542
0.510,0.361929
0.515,0.378748
0.520,0.397029
0.525,0.416803
0.530,0.438102
0.535,0.460955
0.540,0.485377
0.545,0.511357
0.550,0.538849
0.555,0.567755
0.560,0.597915
0.565,0.629099
0.570,0.661006
0.575,0.693269
0.580,0.725465
0.585,0.757139
0.590,0.787824
0.595,0.817070
0.600,0.844472
0.605,0.869692
0.610,0.892480
0.615,0.912682
0.620,0.930246
0.625,0.945215
0.630,0.957718
0.635,0.967947
0.640,0.976143
0.645,0.982573
0.650,0.987511
0.655,0.991222
0.660,0.993950
0.665,0.995914
0.670,0.997295
0.675,0.998246
0.680,0.998886
0.685,0.999307
0.690,0.999578
0.695,0.999748
0.700,0.999853
0.705,0.999916
0.710,0.999953
0.715,0.999974
0.720,0.999986
0.725,0.999993
0.730,0.999996
0.735,0.999998
0.740,0.999999
0.745,1.000000
0.750,1.000000
