Vf,S2016
0.250,0.000107
0.255,0.000203
0.260,0.000372
0.265,0.000662
0.270,0.001143
0.275,0.001912
0.280,0.003105
0.285,0.004893
0.290,0.007485
0.295,0.011121
0.300,0.016057
0.305,0.022540
0.310,0.030780
0.315,0.040917
0.320,0.052987
0.325,0.066902
0.330,0.082433
0.335,0.099216
0.340,0.116782
0.345,0.134588
0.350,0.152074
0.355,0.168711
0.360,0.184051
0.365,0.197763
0.370,0.209651
0.375,0.219655
0.380,0.227836
0.385,0.234357
0.390,0.239443
0.395,0.243361
0.400,0.246386
0.405,0.248785
0.410,0.250804
0.415,0.252661
0.420,0.254550
0.425,0.256637
0.430,0.259069
0.435,0.261974
0.440,0.265469
0.445,0.269656
0.450,0.274625
0.455,0.280450
0.460,0.287189
0.465,0.294879
0.470,0.303535
0.475,0.313146
0.480,0.323677
0.485,0.335258
0.490,0.348014
0.495,0.361752
0.500,0.376451
0.505,0.392096
0.510,0.408685
0.515,0.426226
0.520,0.444740
0.525,0.464253
0.530,0.484794
0.535,0.506377
0.540,0.528999
0.545,0.552625
0.550,0.577181
0.555,0.602547
0.560,0.628565
0.565,0.655032
0.570,0.681717
0.575,0.708372
0.580,0.734740
0.585,0.760570
0.590,0.785628
0.595,0.809701
0.600,0.832604
0.605,0.854179
0.610,0.874296
0.615,0.892853
0.620,0.909775
0.625,0.925012
0.630,0.938545
0.635,0.950388
0.640,0.960585
0.645,0.969212
0.650,0.976376
0.655,0.982209
0.660,0.986861
0.665,0.990490
0.670,0.993259
0.675,0.995323
0.680,0.996826
0.685,0.997894
0.690,0.998634
0.695,0.999134
0.700,0.999464
0.705,0.999676
0.710,0.999809
0.715,0.999890
0.720,0.999938
0.725,0.999966
0.730,0.999982
0.735,0.999991
0.740,0.999995
0.745,0.999998
0.750,0.999999
