Vf,composite
0.250,0.000094
0.255,0.000178
0.260,0.000326
0.265,0.000579
0.270,0.000999
0.275,0.001669
0.280,0.002708
0.285,0.004264
0.290,0.006521
0.295,0.009690
0.300,0.014000
0.305,0.019674
0.310,0.026914
0.315,0.035866
0.320,0.046596
0.325,0.059067
0.330,0.073128
0.335,0.088512
0.340,0.104854
0.345,0.121711
0.350,0.138606
0.355,0.155063
0.360,0.170649
0.365,0.185007
0.370,0.197880
0.375,0.209116
0.380,0.218675
0.385,0.226608
0.390,0.233047
0.395,0.238177
0.400,0.242218
0.405,0.245405
0.410,0.247970
0.415,0.250137
0.420,0.252110
0.425,0.254076
0.430,0.256201
0.435,0.258636
0.440,0.261517
0.445,0.264966
0.450,0.269096
0.455,0.274004
0.460,0.279775
0.465,0.286478
0.470,0.294159
0.475,0.302847
0.480,0.312544
0.485,0.323226
0.490,0.334846
0.495,0.347335
0.500,0.360604
0.505,0.374549
0.510,0.390034
0.515,0.406964
0.520,0.424902
0.525,0.443874
0.530,0.463920
0.535,0.485076
0.540,0.507372
0.545,0.530812
0.550,0.555365
0.555,0.580958
0.560,0.607463
0.565,0.634704
0.570,0.662454
0.575,0.690451
0.580,0.718405
0.585,0.746013
0.590,0.772974
0.595,0.799002
0.600,0.823837
0.605,0.847249
0.610,0.869047
0.615,0.889084
0.620,0.907255
0.625,0.923502
0.630,0.937810
0.635,0.950212
0.640,0.960780
0.645,0.969627
0.650,0.976894
0.655,0.982745
0.660,0.987362
0.665,0.990926
0.670,0.993618
0.675,0.995605
0.680,0.997039
0.685,0.998048
0.690,0.998742
0.695,0.999208
0.700,0.999513
0.705,0.999707
0.710,0.999828
0.715,0.999902
0.720,0.999945
0.725,0.999970
0.730,0.999984
0.735,0.999992
0.740,0.999996
0.745,0.999998
0.750,0.999999
